Z1,Y,T
"(3.495, 3.61]","(-1.293, -0.886]",0
"(2.962, 3.072]","(-3.459, -1.293]",0
"(1.566, 1.853]","(-0.383, -0.199]",1
"(4.026, 4.216]","(0.796, 0.943]",1
"(3.072, 3.177]","(-0.607, -0.383]",0
"(3.28, 3.384]","(4.074, 15.948]",1
"(2.867, 2.962]","(1.711, 1.936]",1
"(4.808, 6.813]","(0.326, 0.448]",0
"(2.962, 3.072]","(4.074, 15.948]",1
"(2.761, 2.867]","(-0.607, -0.383]",0
"(1.566, 1.853]","(3.073, 4.074]",1
"(3.728, 3.86]","(2.489, 3.073]",1
"(1.853, 2.018]","(-0.886, -0.607]",0
"(2.018, 2.185]","(-0.886, -0.607]",0
"(2.53, 2.648]","(1.213, 1.341]",0
"(3.28, 3.384]","(-0.607, -0.383]",0
"(3.28, 3.384]","(0.205, 0.326]",1
"(4.413, 4.808]","(-0.607, -0.383]",0
"(2.314, 2.416]","(0.326, 0.448]",0
"(3.61, 3.728]","(1.936, 2.194]",1
"(4.216, 4.413]","(1.711, 1.936]",0
"(2.962, 3.072]","(-0.607, -0.383]",0
"(2.53, 2.648]","(2.489, 3.073]",1
"(3.384, 3.495]","(2.489, 3.073]",0
"(2.648, 2.761]","(-3.459, -1.293]",0
"(2.53, 2.648]","(-0.886, -0.607]",1
"(3.177, 3.28]","(-1.293, -0.886]",0
"(3.177, 3.28]","(4.074, 15.948]",1
"(1.853, 2.018]","(0.101, 0.205]",1
"(4.808, 6.813]","(0.448, 0.567]",0
"(3.177, 3.28]","(-3.459, -1.293]",1
"(4.413, 4.808]","(0.205, 0.326]",0
"(2.761, 2.867]","(0.796, 0.943]",0
"(4.413, 4.808]","(0.448, 0.567]",0
"(4.808, 6.813]","(0.943, 1.082]",0
"(1.853, 2.018]","(1.082, 1.213]",0
"(3.86, 4.026]","(-1.293, -0.886]",0
"(3.495, 3.61]","(1.51, 1.711]",1
"(4.026, 4.216]","(1.213, 1.341]",0
"(3.61, 3.728]","(-1.293, -0.886]",0
"(2.185, 2.314]","(1.51, 1.711]",1
