Z1,Y,T
"(3.679, 4.371]","(1.7, 3.192]",0
"(1.605, 2.296]","(0.209, 1.7]",1
"(1.605, 2.296]","(1.7, 3.192]",1
"(2.296, 2.988]","(1.7, 3.192]",0
"(3.679, 4.371]","(0.209, 1.7]",1
"(3.679, 4.371]","(-1.283, 0.209]",1
"(1.605, 2.296]","(-1.283, 0.209]",0
"(3.679, 4.371]","(1.7, 3.192]",0
"(0.913, 1.605]","(-1.283, 0.209]",1
"(2.988, 3.679]","(1.7, 3.192]",0
"(2.296, 2.988]","(1.7, 3.192]",1
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.296, 2.988]","(3.192, 4.683]",1
"(4.371, 5.062]","(0.209, 1.7]",0
"(2.988, 3.679]","(0.209, 1.7]",1
"(2.988, 3.679]","(-1.283, 0.209]",0
"(2.988, 3.679]","(-1.283, 0.209]",1
"(2.296, 2.988]","(-1.283, 0.209]",1
"(3.679, 4.371]","(0.209, 1.7]",0
"(2.296, 2.988]","(0.209, 1.7]",1
"(2.296, 2.988]","(-2.789, -1.283]",0
"(4.371, 5.062]","(-1.283, 0.209]",0
"(2.988, 3.679]","(4.683, 6.175]",1
"(2.296, 2.988]","(3.192, 4.683]",1
"(4.371, 5.062]","(1.7, 3.192]",0
"(3.679, 4.371]","(0.209, 1.7]",0
"(2.988, 3.679]","(1.7, 3.192]",1
"(0.913, 1.605]","(0.209, 1.7]",0
"(2.988, 3.679]","(1.7, 3.192]",1
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.296, 2.988]","(0.209, 1.7]",1
"(3.679, 4.371]","(0.209, 1.7]",0
"(2.296, 2.988]","(1.7, 3.192]",1
"(0.913, 1.605]","(0.209, 1.7]",1
"(2.988, 3.679]","(0.209, 1.7]",0
"(4.371, 5.062]","(-2.789, -1.283]",0
"(3.679, 4.371]","(0.209, 1.7]",0
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.988, 3.679]","(1.7, 3.192]",1
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.988, 3.679]","(-2.789, -1.283]",1
"(2.988, 3.679]","(0.209, 1.7]",1
"(2.988, 3.679]","(-2.789, -1.283]",0
"(1.605, 2.296]","(1.7, 3.192]",1
"(3.679, 4.371]","(0.209, 1.7]",0
"(2.296, 2.988]","(-1.283, 0.209]",0
"(4.371, 5.062]","(-1.283, 0.209]",0
"(1.605, 2.296]","(-1.283, 0.209]",1
"(1.605, 2.296]","(9.158, 10.65]",1
"(2.296, 2.988]","(-2.789, -1.283]",1
"(3.679, 4.371]","(-1.283, 0.209]",0
"(5.062, 5.753]","(1.7, 3.192]",1
"(1.605, 2.296]","(0.209, 1.7]",1
"(2.296, 2.988]","(1.7, 3.192]",1
"(1.605, 2.296]","(1.7, 3.192]",1
"(1.605, 2.296]","(-1.283, 0.209]",1
"(2.988, 3.679]","(-1.283, 0.209]",1
"(2.988, 3.679]","(1.7, 3.192]",0
"(2.296, 2.988]","(-1.283, 0.209]",0
"(2.988, 3.679]","(1.7, 3.192]",0
"(2.296, 2.988]","(4.683, 6.175]",1
"(2.296, 2.988]","(0.209, 1.7]",0
"(2.296, 2.988]","(0.209, 1.7]",1
"(2.296, 2.988]","(0.209, 1.7]",0
"(3.679, 4.371]","(0.209, 1.7]",1
"(2.296, 2.988]","(-1.283, 0.209]",0
"(0.913, 1.605]","(-1.283, 0.209]",0
"(1.605, 2.296]","(-1.283, 0.209]",1
"(3.679, 4.371]","(0.209, 1.7]",0
"(4.371, 5.062]","(0.209, 1.7]",0
"(1.605, 2.296]","(-1.283, 0.209]",1
"(4.371, 5.062]","(0.209, 1.7]",0
"(3.679, 4.371]","(0.209, 1.7]",0
"(4.371, 5.062]","(0.209, 1.7]",0
"(2.988, 3.679]","(0.209, 1.7]",1
"(2.988, 3.679]","(0.209, 1.7]",0
"(0.222, 0.913]","(0.209, 1.7]",1
"(2.296, 2.988]","(0.209, 1.7]",1
"(2.296, 2.988]","(10.65, 12.141]",1
"(2.988, 3.679]","(-1.283, 0.209]",0
"(2.988, 3.679]","(3.192, 4.683]",1
"(0.913, 1.605]","(0.209, 1.7]",1
"(2.988, 3.679]","(1.7, 3.192]",0
"(1.605, 2.296]","(-2.789, -1.283]",0
"(2.296, 2.988]","(0.209, 1.7]",1
"(2.296, 2.988]","(3.192, 4.683]",1
"(3.679, 4.371]","(1.7, 3.192]",0
"(3.679, 4.371]","(-2.789, -1.283]",0
"(3.679, 4.371]","(-1.283, 0.209]",0
"(1.605, 2.296]","(1.7, 3.192]",1
"(4.371, 5.062]","(1.7, 3.192]",1
"(2.296, 2.988]","(-1.283, 0.209]",1
"(2.296, 2.988]","(-1.283, 0.209]",1
"(4.371, 5.062]","(-1.283, 0.209]",0
"(2.988, 3.679]","(-1.283, 0.209]",1
"(2.296, 2.988]","(0.209, 1.7]",1
"(1.605, 2.296]","(0.209, 1.7]",1
"(4.371, 5.062]","(-1.283, 0.209]",0
"(2.296, 2.988]","(-1.283, 0.209]",1
"(3.679, 4.371]","(-1.283, 0.209]",0
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.296, 2.988]","(0.209, 1.7]",1
"(3.679, 4.371]","(0.209, 1.7]",0
"(3.679, 4.371]","(-1.283, 0.209]",0
"(3.679, 4.371]","(-1.283, 0.209]",0
"(2.988, 3.679]","(0.209, 1.7]",1
"(2.988, 3.679]","(4.683, 6.175]",1
"(2.988, 3.679]","(-1.283, 0.209]",0
"(2.988, 3.679]","(0.209, 1.7]",1
"(0.222, 0.913]","(0.209, 1.7]",1
"(2.988, 3.679]","(-1.283, 0.209]",0
"(3.679, 4.371]","(-2.789, -1.283]",0
"(3.679, 4.371]","(-1.283, 0.209]",1
"(2.296, 2.988]","(-1.283, 0.209]",0
"(3.679, 4.371]","(0.209, 1.7]",1
"(1.605, 2.296]","(1.7, 3.192]",1
"(2.988, 3.679]","(1.7, 3.192]",0
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.988, 3.679]","(10.65, 12.141]",1
"(2.988, 3.679]","(0.209, 1.7]",1
"(1.605, 2.296]","(-1.283, 0.209]",1
"(2.296, 2.988]","(-1.283, 0.209]",0
"(2.296, 2.988]","(0.209, 1.7]",1
"(0.222, 0.913]","(0.209, 1.7]",1
"(2.296, 2.988]","(0.209, 1.7]",0
"(4.371, 5.062]","(-1.283, 0.209]",0
"(2.988, 3.679]","(-1.283, 0.209]",0
"(1.605, 2.296]","(-1.283, 0.209]",1
"(0.913, 1.605]","(-2.789, -1.283]",0
"(2.296, 2.988]","(4.683, 6.175]",1
"(3.679, 4.371]","(1.7, 3.192]",0
"(3.679, 4.371]","(-1.283, 0.209]",0
"(2.296, 2.988]","(3.192, 4.683]",1
"(1.605, 2.296]","(0.209, 1.7]",1
"(2.988, 3.679]","(0.209, 1.7]",1
"(2.296, 2.988]","(0.209, 1.7]",0
"(4.371, 5.062]","(3.192, 4.683]",1
"(2.296, 2.988]","(1.7, 3.192]",0
"(3.679, 4.371]","(-1.283, 0.209]",0
"(3.679, 4.371]","(1.7, 3.192]",1
"(5.062, 5.753]","(1.7, 3.192]",0
"(2.296, 2.988]","(1.7, 3.192]",1
"(1.605, 2.296]","(0.209, 1.7]",1
"(2.296, 2.988]","(3.192, 4.683]",1
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.296, 2.988]","(-1.283, 0.209]",1
"(2.296, 2.988]","(1.7, 3.192]",0
"(4.371, 5.062]","(1.7, 3.192]",1
"(2.296, 2.988]","(1.7, 3.192]",1
"(3.679, 4.371]","(-2.789, -1.283]",0
"(3.679, 4.371]","(1.7, 3.192]",0
"(2.988, 3.679]","(-1.283, 0.209]",1
"(3.679, 4.371]","(3.192, 4.683]",1
"(2.296, 2.988]","(0.209, 1.7]",1
"(2.296, 2.988]","(-1.283, 0.209]",0
"(2.988, 3.679]","(0.209, 1.7]",0
"(3.679, 4.371]","(0.209, 1.7]",0
"(1.605, 2.296]","(1.7, 3.192]",1
"(0.913, 1.605]","(6.175, 7.667]",1
"(2.988, 3.679]","(0.209, 1.7]",1
"(2.988, 3.679]","(0.209, 1.7]",0
"(2.296, 2.988]","(3.192, 4.683]",1
