Z1,Y,T
"(3.865, 3.987]","(2.105, 2.367]",0
"(1.555, 1.725]","(1.212, 1.304]",1
"(2.025, 2.157]","(1.749, 1.905]",1
"(2.359, 2.456]","(1.57, 1.749]",0
"(4.12, 4.309]","(0.391, 0.506]",1
"(3.987, 4.12]","(-0.485, -0.328]",1
"(2.157, 2.257]","(-0.194, -0.0584]",0
"(3.749, 3.865]","(2.367, 2.734]",0
"(-0.47, 1.136]","(-0.668, -0.485]",1
"(3.17, 3.258]","(1.57, 1.749]",0
"(2.359, 2.456]","(1.905, 2.105]",1
"(3.508, 3.631]","(0.778, 0.861]",0
"(2.567, 2.66]","(2.734, 3.324]",1
"(4.874, 6.445]","(0.687, 0.778]",0
"(3.508, 3.631]","(1.437, 1.57]",1
"(3.427, 3.508]","(-0.485, -0.328]",0
"(3.349, 3.427]","(0.16, 0.274]",1
"(2.359, 2.456]","(0.0589, 0.16]",1
"(3.865, 3.987]","(1.437, 1.57]",0
"(2.567, 2.66]","(1.304, 1.437]",1
"(2.758, 2.838]","(-2.775, -1.266]",0
"(4.309, 4.513]","(-0.845, -0.668]",0
"(3.085, 3.17]","(4.538, 12.141]",1
"(2.359, 2.456]","(3.324, 4.538]",1
"(4.309, 4.513]","(1.749, 1.905]",0
"(3.865, 3.987]","(0.687, 0.778]",0
"(3.17, 3.258]","(2.105, 2.367]",1
"(1.136, 1.555]","(0.861, 0.974]",0
"(3.427, 3.508]","(1.749, 1.905]",1
"(3.349, 3.427]","(0.506, 0.593]",0
"(3.349, 3.427]","(1.089, 1.212]",0
"(2.66, 2.758]","(0.16, 0.274]",1
"(3.749, 3.865]","(0.861, 0.974]",0
"(2.257, 2.359]","(2.105, 2.367]",1
"(-0.47, 1.136]","(0.974, 1.089]",1
"(3.427, 3.508]","(1.089, 1.212]",0
"(4.513, 4.874]","(-2.775, -1.266]",0
"(3.865, 3.987]","(0.391, 0.506]",0
"(3.508, 3.631]","(0.778, 0.861]",0
"(3.508, 3.631]","(1.905, 2.105]",1
"(3.258, 3.349]","(0.778, 0.861]",0
"(3.009, 3.085]","(-2.775, -1.266]",1
"(3.009, 3.085]","(0.687, 0.778]",1
"(3.17, 3.258]","(-2.775, -1.266]",0
"(1.725, 1.884]","(1.749, 1.905]",1
"(3.987, 4.12]","(0.391, 0.506]",0
"(2.456, 2.567]","(-0.845, -0.668]",0
"(4.513, 4.874]","(0.0589, 0.16]",0
"(1.555, 1.725]","(-0.485, -0.328]",1
"(2.025, 2.157]","(4.538, 12.141]",1
"(2.567, 2.66]","(-2.775, -1.266]",1
"(4.12, 4.309]","(-1.266, -0.845]",0
"(4.874, 6.445]","(1.905, 2.105]",1
"(1.725, 1.884]","(0.861, 0.974]",1
"(2.758, 2.838]","(1.905, 2.105]",1
"(1.884, 2.025]","(1.749, 1.905]",1
"(1.725, 1.884]","(-0.668, -0.485]",1
"(3.349, 3.427]","(-0.194, -0.0584]",1
"(3.349, 3.427]","(2.367, 2.734]",0
"(2.66, 2.758]","(0.0589, 0.16]",0
"(3.085, 3.17]","(1.57, 1.749]",0
"(2.359, 2.456]","(4.538, 12.141]",1
"(2.924, 3.009]","(0.861, 0.974]",0
"(2.359, 2.456]","(0.861, 0.974]",1
"(2.758, 2.838]","(1.089, 1.212]",0
"(4.12, 4.309]","(1.304, 1.437]",1
"(2.838, 2.924]","(-0.485, -0.328]",0
"(1.136, 1.555]","(0.16, 0.274]",0
"(1.555, 1.725]","(-0.485, -0.328]",1
"(4.309, 4.513]","(0.391, 0.506]",0
"(4.309, 4.513]","(0.974, 1.089]",0
"(2.257, 2.359]","(-0.485, -0.328]",1
"(4.513, 4.874]","(1.089, 1.212]",0
"(3.749, 3.865]","(0.861, 0.974]",0
"(4.874, 6.445]","(0.778, 0.861]",0
"(3.427, 3.508]","(0.391, 0.506]",1
"(3.349, 3.427]","(1.57, 1.749]",0
"(-0.47, 1.136]","(0.391, 0.506]",1
