treat,age,educ,black,hisp,married,nodegr,re74,re75,re78
1.0,"(36.0, 39.8]","(10.2, 11.9]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(8.5, 10.2]",0.0,1.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(24234.716, 36352.074]"
1.0,"(24.6, 28.4]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(32.2, 36.0]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(15.3, 17.0]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(32.2, 36.0]","(11.9, 13.6]",0.0,0.0,1.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(16.962, 20.8]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(8.5, 10.2]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(16.962, 20.8]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(20.8, 24.6]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(39.8, 43.6]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(39.8, 43.6]","(13.6, 15.3]",0.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(36.0, 39.8]","(8.5, 10.2]",0.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(10.2, 11.9]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(8.5, 10.2]",0.0,1.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(20.8, 24.6]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(47.4, 51.2]","(3.4, 5.1]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(10.2, 11.9]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(39.8, 43.6]","(13.6, 15.3]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(24.6, 28.4]","(3.4, 5.1]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(11.9, 13.6]",1.0,0.0,1.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(43.6, 47.4]","(6.8, 8.5]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",0.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(16.962, 20.8]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(6.8, 8.5]",0.0,1.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(10.2, 11.9]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(3.4, 5.1]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(20.8, 24.6]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(10.2, 11.9]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(10.2, 11.9]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(36.0, 39.8]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(39.8, 43.6]","(3.4, 5.1]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(39.8, 43.6]","(13.6, 15.3]",1.0,0.0,1.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(20.8, 24.6]","(10.2, 11.9]",0.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(6.8, 8.5]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(32.2, 36.0]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(3.4, 5.1]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(20.8, 24.6]","(6.8, 8.5]",0.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(43.6, 47.4]","(3.4, 5.1]",1.0,0.0,1.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(28.4, 32.2]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(43.6, 47.4]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(16.962, 20.8]","(5.1, 6.8]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(13.6, 15.3]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(24.6, 28.4]","(10.2, 11.9]",0.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(20.8, 24.6]","(11.9, 13.6]",1.0,0.0,0.0,0.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
1.0,"(20.8, 24.6]","(8.5, 10.2]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(-121.174, 12117.358]"
1.0,"(39.8, 43.6]","(10.2, 11.9]",1.0,0.0,0.0,1.0,"(-137.149, 13714.868]","(-156.653, 15665.323]","(12117.358, 24234.716]"
