treat,age,educ,black,hisp,married,nodegr,re74,re75,re78
1.0,2,1,1,0,1,1,0,0,10
1.0,0,0,0,1,0,1,0,0,0
1.0,2,1,1,0,0,0,0,0,194
1.0,1,1,1,0,0,1,0,0,0
1.0,2,0,1,0,0,1,0,0,0
1.0,0,0,1,0,0,1,0,0,0
1.0,0,1,1,0,0,0,0,0,0
1.0,2,1,1,0,0,1,0,0,0
1.0,0,3,1,0,0,0,0,0,0
1.0,2,1,0,0,1,0,0,0,30
1.0,0,0,1,0,0,1,0,0,0
1.0,0,2,1,0,0,0,0,0,102
1.0,0,0,1,0,0,1,0,0,0
1.0,1,1,1,0,1,1,0,0,123
1.0,0,0,1,0,0,1,0,0,0
1.0,0,1,1,0,0,1,0,0,0
1.0,1,2,1,0,0,0,0,0,68
1.0,0,1,1,0,0,1,0,0,0
1.0,2,1,1,0,0,0,0,0,20
1.0,1,1,1,0,0,0,0,0,19
1.0,0,1,1,0,0,1,0,0,0
1.0,2,2,0,0,0,0,0,0,0
1.0,2,0,0,0,0,1,0,0,0
1.0,1,1,1,0,0,1,0,0,0
1.0,0,1,1,0,0,1,0,0,22
1.0,2,1,1,0,1,1,0,0,6
1.0,1,1,1,0,0,1,0,0,8
1.0,1,1,0,1,0,1,0,0,22
1.0,0,1,1,0,0,1,0,0,95
1.0,1,1,1,0,0,1,0,0,0
1.0,0,1,1,0,0,1,0,0,0
1.0,3,0,1,0,0,1,0,0,0
1.0,1,1,1,0,1,1,0,0,0
1.0,0,1,1,0,0,0,0,0,0
1.0,1,1,1,0,0,0,0,0,0
1.0,3,2,1,0,0,0,0,0,145
1.0,1,0,1,0,0,1,0,0,0
1.0,0,1,1,0,1,0,0,0,0
1.0,3,0,1,0,1,1,0,0,0
1.0,1,1,1,0,0,1,0,0,0
1.0,0,1,1,0,0,0,0,0,0
1.0,0,0,0,0,0,1,0,0,45
1.0,0,0,1,0,0,1,0,0,0
1.0,0,0,0,1,1,1,0,0,0
1.0,0,1,1,0,0,1,0,0,0
1.0,1,1,1,0,1,1,0,0,0
1.0,0,0,1,0,0,1,0,0,0
1.0,0,0,1,0,0,1,0,0,0
1.0,1,0,1,0,0,1,0,0,29
1.0,0,1,1,0,0,0,0,0,0
1.0,1,0,1,0,0,1,0,0,0
1.0,2,1,1,0,1,1,0,0,0
1.0,0,1,1,0,0,1,0,0,0
1.0,1,1,1,0,0,0,0,0,0
1.0,2,1,1,0,1,1,0,0,0
1.0,0,1,1,0,0,1,0,0,0
1.0,2,0,1,0,0,1,0,0,0
1.0,2,0,1,0,1,1,0,0,0
1.0,3,2,1,0,1,0,0,0,44
1.0,0,1,0,0,0,1,0,0,0
1.0,0,0,1,0,0,1,0,0,0
1.0,2,0,1,0,0,1,0,0,0
1.0,2,1,1,0,0,1,0,0,0
1.0,1,1,1,0,0,1,0,0,0
1.0,2,0,1,0,0,1,0,0,0
1.0,1,0,1,0,0,1,0,0,19
1.0,1,1,1,0,0,1,0,0,0
1.0,0,0,0,0,0,1,0,0,0
1.0,3,0,1,0,1,1,0,0,0
1.0,2,2,1,0,0,0,0,0,0
1.0,1,0,1,0,0,1,0,0,0
1.0,3,2,1,0,0,0,0,0,0
1.0,0,0,1,0,0,1,0,0,0
1.0,1,1,1,0,0,0,0,0,23
1.0,1,3,1,0,0,0,0,0,5
1.0,1,1,0,0,0,1,0,0,125
1.0,0,1,1,0,0,0,0,0,122
1.0,0,0,1,0,0,1,0,0,0
1.0,2,1,1,0,0,1,0,0,167
1.0,0,1,1,0,0,1,0,0,0
1.0,1,1,1,0,0,0,0,0,0
1.0,0,1,1,0,0,0,0,0,0
1.0,2,1,0,0,0,0,0,0,0
1.0,1,2,1,0,0,0,0,0,0
1.0,1,0,1,0,0,1,0,0,0
1.0,2,1,1,0,0,1,0,0,0
