treat,age,educ,black,hisp,married,nodegr,re74,re75,re78
1.0,"(32.0, 37.0]","(10.0, 12.0]",1.0,0.0,1.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(16.999, 23.0]","(8.0, 10.0]",0.0,1.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(28.0, 32.0]","(10.0, 12.0]",1.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(24116.497, 28815.668]"
1.0,"(25.0, 28.0]","(10.0, 12.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(32.0, 37.0]","(-0.001, 8.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(-0.001, 291.229]"
1.0,"(16.999, 23.0]","(8.0, 10.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(16.999, 23.0]","(10.0, 12.0]",1.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(-0.001, 291.229]"
1.0,"(28.0, 32.0]","(10.0, 12.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(16.999, 23.0]","(14.0, 16.0]",1.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(32.0, 37.0]","(10.0, 12.0]",0.0,0.0,1.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(16.999, 23.0]","(8.0, 10.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(16.999, 23.0]","(12.0, 14.0]",1.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(14777.266, 19432.104]"
1.0,"(16.999, 23.0]","(-0.001, 8.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(-0.001, 291.229]"
1.0,"(25.0, 28.0]","(8.0, 10.0]",1.0,0.0,1.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(14777.266, 19432.104]"
1.0,"(16.999, 23.0]","(-0.001, 8.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(16.999, 23.0]","(8.0, 10.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(25.0, 28.0]","(12.0, 14.0]",1.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(16.999, 23.0]","(8.0, 10.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(37.0, 43.5]","(10.0, 12.0]",1.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(25.0, 28.0]","(10.0, 12.0]",1.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(16.999, 23.0]","(10.0, 12.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(-0.001, 291.229]"
1.0,"(37.0, 43.5]","(12.0, 14.0]",0.0,0.0,0.0,0.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(37.0, 43.5]","(8.0, 10.0]",0.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(23.0, 25.0]","(10.0, 12.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(291.229, 9243.401]"
1.0,"(16.999, 23.0]","(8.0, 10.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(28.0, 32.0]","(10.0, 12.0]",1.0,0.0,1.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(23.0, 25.0]","(10.0, 12.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(25.0, 28.0]","(8.0, 10.0]",0.0,1.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(9243.401, 14777.266]"
1.0,"(16.999, 23.0]","(8.0, 10.0]",1.0,0.0,0.0,1.0,"(-0.001, 8816.701]","(-0.001, 7605.29]","(14777.266, 19432.104]"
