A,B,C,D,E
"(20.015, 21.048]","(19.686, 20.749]","(25.702, 26.787]","(96.72, 100.753]","(364.391, 376.919]"
"(21.048, 22.081]","(16.499, 17.561]","(13.764, 14.849]","(88.654, 92.687]","(314.282, 326.809]"
"(17.949, 18.982]","(23.936, 24.999]","(9.423, 10.508]","(108.819, 112.852]","(351.864, 364.391]"
"(17.949, 18.982]","(21.811, 22.874]","(11.593, 12.679]","(96.72, 100.753]","(326.809, 339.337]"
"(12.783, 13.816]","(21.811, 22.874]","(21.361, 22.446]","(92.687, 96.72]","(339.337, 351.864]"
"(6.585, 7.618]","(19.686, 20.749]","(14.849, 15.934]","(68.489, 72.522]","(251.644, 264.172]"
"(21.048, 22.081]","(27.124, 28.186]","(17.02, 18.105]","(116.885, 120.918]","(401.974, 414.501]"
"(14.85, 15.883]","(24.999, 26.061]","(18.105, 19.19]","(100.753, 104.786]","(351.864, 364.391]"
"(21.048, 22.081]","(18.624, 19.686]","(23.531, 24.616]","(104.786, 108.819]","(389.446, 401.974]"
"(24.147, 25.18]","(17.561, 18.624]","(12.679, 13.764]","(108.819, 112.852]","(376.919, 389.446]"
"(18.982, 20.015]","(23.936, 24.999]","(10.508, 11.593]","(100.753, 104.786]","(339.337, 351.864]"
"(21.048, 22.081]","(17.561, 18.624]","(8.338, 9.423]","(96.72, 100.753]","(314.282, 326.809]"
"(11.75, 12.783]","(23.936, 24.999]","(17.02, 18.105]","(96.72, 100.753]","(339.337, 351.864]"
"(23.114, 24.147]","(16.499, 17.561]","(12.679, 13.764]","(92.687, 96.72]","(314.282, 326.809]"
"(10.717, 11.75]","(18.624, 19.686]","(11.593, 12.679]","(76.555, 80.588]","(264.172, 276.699]"
"(16.916, 17.949]","(18.624, 19.686]","(12.679, 13.764]","(92.687, 96.72]","(326.809, 339.337]"
"(14.85, 15.883]","(14.374, 15.436]","(13.764, 14.849]","(76.555, 80.588]","(264.172, 276.699]"
"(20.015, 21.048]","(19.686, 20.749]","(9.423, 10.508]","(96.72, 100.753]","(314.282, 326.809]"
"(18.982, 20.015]","(24.999, 26.061]","(14.849, 15.934]","(112.852, 116.885]","(389.446, 401.974]"
"(11.75, 12.783]","(33.498, 34.561]","(21.361, 22.446]","(128.984, 133.017]","(452.084, 464.611]"
"(16.916, 17.949]","(17.561, 18.624]","(10.508, 11.593]","(80.588, 84.621]","(264.172, 276.699]"
"(12.783, 13.816]","(19.686, 20.749]","(17.02, 18.105]","(80.588, 84.621]","(301.754, 314.282]"
"(15.883, 16.916]","(23.936, 24.999]","(5.082, 6.167]","(100.753, 104.786]","(326.809, 339.337]"
"(21.048, 22.081]","(16.499, 17.561]","(9.423, 10.508]","(88.654, 92.687]","(289.227, 301.754]"
"(11.75, 12.783]","(28.186, 29.248]","(-0.377, 0.741]","(92.687, 96.72]","(276.699, 289.227]"
"(28.279, 29.312]","(16.499, 17.561]","(15.934, 17.02]","(100.753, 104.786]","(351.864, 364.391]"
"(16.916, 17.949]","(20.749, 21.811]","(17.02, 18.105]","(88.654, 92.687]","(326.809, 339.337]"
"(23.114, 24.147]","(29.248, 30.311]","(7.252, 8.338]","(133.017, 137.05]","(427.029, 439.556]"
"(30.345, 31.378]","(15.436, 16.499]","(5.082, 6.167]","(108.819, 112.852]","(339.337, 351.864]"
"(10.717, 11.75]","(19.686, 20.749]","(10.508, 11.593]","(76.555, 80.588]","(251.644, 264.172]"
"(16.916, 17.949]","(19.686, 20.749]","(17.02, 18.105]","(92.687, 96.72]","(326.809, 339.337]"
"(17.949, 18.982]","(20.749, 21.811]","(10.508, 11.593]","(88.654, 92.687]","(301.754, 314.282]"
"(14.85, 15.883]","(17.561, 18.624]","(6.167, 7.252]","(84.621, 88.654]","(264.172, 276.699]"
"(25.18, 26.213]","(15.436, 16.499]","(15.934, 17.02]","(96.72, 100.753]","(339.337, 351.864]"
"(18.982, 20.015]","(9.061, 10.124]","(23.531, 24.616]","(60.423, 64.456]","(264.172, 276.699]"
"(26.213, 27.246]","(17.561, 18.624]","(17.02, 18.105]","(100.753, 104.786]","(351.864, 364.391]"
"(16.916, 17.949]","(19.686, 20.749]","(12.679, 13.764]","(92.687, 96.72]","(314.282, 326.809]"
"(21.048, 22.081]","(19.686, 20.749]","(26.787, 27.872]","(108.819, 112.852]","(414.501, 427.029]"
"(16.916, 17.949]","(22.874, 23.936]","(14.849, 15.934]","(96.72, 100.753]","(326.809, 339.337]"
"(16.916, 17.949]","(20.749, 21.811]","(19.19, 20.275]","(100.753, 104.786]","(351.864, 364.391]"
"(21.048, 22.081]","(13.311, 14.374]","(18.105, 19.19]","(76.555, 80.588]","(289.227, 301.754]"
"(22.081, 23.114]","(9.061, 10.124]","(20.275, 21.361]","(68.489, 72.522]","(276.699, 289.227]"
"(14.85, 15.883]","(17.561, 18.624]","(17.02, 18.105]","(80.588, 84.621]","(301.754, 314.282]"
"(14.85, 15.883]","(18.624, 19.686]","(5.082, 6.167]","(92.687, 96.72]","(289.227, 301.754]"
"(15.883, 16.916]","(21.811, 22.874]","(10.508, 11.593]","(108.819, 112.852]","(351.864, 364.391]"
"(18.982, 20.015]","(24.999, 26.061]","(14.849, 15.934]","(112.852, 116.885]","(389.446, 401.974]"
"(12.783, 13.816]","(17.561, 18.624]","(8.338, 9.423]","(76.555, 80.588]","(264.172, 276.699]"
"(17.949, 18.982]","(17.561, 18.624]","(17.02, 18.105]","(88.654, 92.687]","(314.282, 326.809]"
"(25.18, 26.213]","(17.561, 18.624]","(17.02, 18.105]","(96.72, 100.753]","(339.337, 351.864]"
"(12.783, 13.816]","(24.999, 26.061]","(3.997, 5.082]","(104.786, 108.819]","(326.809, 339.337]"
"(17.949, 18.982]","(17.561, 18.624]","(10.508, 11.593]","(92.687, 96.72]","(314.282, 326.809]"
"(28.279, 29.312]","(17.561, 18.624]","(26.787, 27.872]","(108.819, 112.852]","(401.974, 414.501]"
"(16.916, 17.949]","(15.436, 16.499]","(11.593, 12.679]","(76.555, 80.588]","(264.172, 276.699]"
"(14.85, 15.883]","(9.061, 10.124]","(22.446, 23.531]","(56.39, 60.423]","(226.59, 239.117]"
"(21.048, 22.081]","(18.624, 19.686]","(11.593, 12.679]","(96.72, 100.753]","(326.809, 339.337]"
"(18.982, 20.015]","(24.999, 26.061]","(21.361, 22.446]","(120.918, 124.951]","(414.501, 427.029]"
"(24.147, 25.18]","(19.686, 20.749]","(22.446, 23.531]","(112.852, 116.885]","(414.501, 427.029]"
"(11.75, 12.783]","(15.436, 16.499]","(10.508, 11.593]","(68.489, 72.522]","(226.59, 239.117]"
"(20.015, 21.048]","(19.686, 20.749]","(23.531, 24.616]","(100.753, 104.786]","(364.391, 376.919]"
"(20.015, 21.048]","(17.561, 18.624]","(8.338, 9.423]","(92.687, 96.72]","(289.227, 301.754]"
"(18.982, 20.015]","(9.061, 10.124]","(20.275, 21.361]","(60.423, 64.456]","(251.644, 264.172]"
"(15.883, 16.916]","(11.186, 12.249]","(7.252, 8.338]","(68.489, 72.522]","(239.117, 251.644]"
"(20.015, 21.048]","(18.624, 19.686]","(12.679, 13.764]","(96.72, 100.753]","(326.809, 339.337]"
"(25.18, 26.213]","(24.999, 26.061]","(20.275, 21.361]","(133.017, 137.05]","(452.084, 464.611]"
"(20.015, 21.048]","(23.936, 24.999]","(13.764, 14.849]","(112.852, 116.885]","(376.919, 389.446]"
"(20.015, 21.048]","(20.749, 21.811]","(8.338, 9.423]","(112.852, 116.885]","(364.391, 376.919]"
"(21.048, 22.081]","(13.311, 14.374]","(12.679, 13.764]","(88.654, 92.687]","(314.282, 326.809]"
"(17.949, 18.982]","(13.311, 14.374]","(22.446, 23.531]","(76.555, 80.588]","(301.754, 314.282]"
"(15.883, 16.916]","(24.999, 26.061]","(13.764, 14.849]","(104.786, 108.819]","(351.864, 364.391]"
"(21.048, 22.081]","(16.499, 17.561]","(6.167, 7.252]","(88.654, 92.687]","(276.699, 289.227]"
"(27.246, 28.279]","(17.561, 18.624]","(18.105, 19.19]","(112.852, 116.885]","(389.446, 401.974]"
"(23.114, 24.147]","(21.811, 22.874]","(19.19, 20.275]","(108.819, 112.852]","(389.446, 401.974]"
"(17.949, 18.982]","(16.499, 17.561]","(19.19, 20.275]","(80.588, 84.621]","(301.754, 314.282]"
"(25.18, 26.213]","(18.624, 19.686]","(13.764, 14.849]","(108.819, 112.852]","(364.391, 376.919]"
"(24.147, 25.18]","(9.061, 10.124]","(17.02, 18.105]","(76.555, 80.588]","(276.699, 289.227]"
"(25.18, 26.213]","(27.124, 28.186]","(10.508, 11.593]","(137.05, 141.083]","(427.029, 439.556]"
"(9.684, 10.717]","(14.374, 15.436]","(14.849, 15.934]","(72.522, 76.555]","(251.644, 264.172]"
"(21.048, 22.081]","(15.436, 16.499]","(13.764, 14.849]","(100.753, 104.786]","(339.337, 351.864]"
"(28.279, 29.312]","(29.248, 30.311]","(7.252, 8.338]","(145.116, 149.149]","(452.084, 464.611]"
"(28.279, 29.312]","(22.874, 23.936]","(13.764, 14.849]","(128.984, 133.017]","(427.029, 439.556]"
"(18.982, 20.015]","(30.311, 31.373]","(10.508, 11.593]","(128.984, 133.017]","(414.501, 427.029]"
"(16.916, 17.949]","(23.936, 24.999]","(14.849, 15.934]","(108.819, 112.852]","(364.391, 376.919]"
"(15.883, 16.916]","(17.561, 18.624]","(13.764, 14.849]","(80.588, 84.621]","(289.227, 301.754]"
"(18.982, 20.015]","(22.874, 23.936]","(9.423, 10.508]","(104.786, 108.819]","(351.864, 364.391]"
"(18.982, 20.015]","(21.811, 22.874]","(11.593, 12.679]","(104.786, 108.819]","(351.864, 364.391]"
"(22.081, 23.114]","(24.999, 26.061]","(17.02, 18.105]","(116.885, 120.918]","(414.501, 427.029]"
"(18.982, 20.015]","(19.686, 20.749]","(17.02, 18.105]","(100.753, 104.786]","(351.864, 364.391]"
