A,B,C,D,E
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(17.532, 22.491]","(14.13, 19.147]","(8.109, 13.274]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(19.147, 24.164]","(8.109, 13.274]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(9.087, 14.13]","(8.109, 13.274]","(54.655, 76.001]","(201.725, 267.483]"
"(7.591, 12.574]","(19.147, 24.164]","(13.274, 18.44]","(54.655, 76.001]","(201.725, 267.483]"
"(17.532, 22.491]","(19.147, 24.164]","(8.109, 13.274]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(9.087, 14.13]","(18.44, 23.605]","(54.655, 76.001]","(201.725, 267.483]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(22.491, 27.45]","(19.147, 24.164]","(2.918, 8.109]","(97.241, 118.481]","(332.914, 398.345]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(17.532, 22.491]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(12.574, 17.532]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(22.491, 27.45]","(19.147, 24.164]","(8.109, 13.274]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(19.147, 24.164]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(24.164, 29.181]","(8.109, 13.274]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(14.13, 19.147]","(13.274, 18.44]","(54.655, 76.001]","(201.725, 267.483]"
"(17.532, 22.491]","(14.13, 19.147]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(12.574, 17.532]","(14.13, 19.147]","(8.109, 13.274]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(24.164, 29.181]","(8.109, 13.274]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(19.147, 24.164]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(12.574, 17.532]","(9.087, 14.13]","(8.109, 13.274]","(54.655, 76.001]","(201.725, 267.483]"
"(17.532, 22.491]","(19.147, 24.164]","(8.109, 13.274]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(14.13, 19.147]","(8.109, 13.274]","(76.001, 97.241]","(267.483, 332.914]"
"(22.491, 27.45]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(22.491, 27.45]","(14.13, 19.147]","(18.44, 23.605]","(97.241, 118.481]","(332.914, 398.345]"
"(27.45, 32.408]","(14.13, 19.147]","(18.44, 23.605]","(118.481, 139.721]","(398.345, 463.776]"
"(12.574, 17.532]","(14.13, 19.147]","(8.109, 13.274]","(54.655, 76.001]","(201.725, 267.483]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(24.164, 29.181]","(8.109, 13.274]","(97.241, 118.481]","(332.914, 398.345]"
"(22.491, 27.45]","(29.181, 34.199]","(13.274, 18.44]","(118.481, 139.721]","(463.776, 529.207]"
"(17.532, 22.491]","(14.13, 19.147]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(22.491, 27.45]","(29.181, 34.199]","(2.918, 8.109]","(118.481, 139.721]","(398.345, 463.776]"
"(17.532, 22.491]","(19.147, 24.164]","(2.918, 8.109]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(24.164, 29.181]","(18.44, 23.605]","(97.241, 118.481]","(398.345, 463.776]"
"(17.532, 22.491]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(76.001, 97.241]","(332.914, 398.345]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(17.532, 22.491]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(12.574, 17.532]","(19.147, 24.164]","(13.274, 18.44]","(76.001, 97.241]","(332.914, 398.345]"
"(12.574, 17.532]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
"(12.574, 17.532]","(14.13, 19.147]","(18.44, 23.605]","(76.001, 97.241]","(267.483, 332.914]"
"(17.532, 22.491]","(14.13, 19.147]","(2.918, 8.109]","(76.001, 97.241]","(201.725, 267.483]"
"(12.574, 17.532]","(14.13, 19.147]","(8.109, 13.274]","(54.655, 76.001]","(201.725, 267.483]"
"(17.532, 22.491]","(14.13, 19.147]","(8.109, 13.274]","(76.001, 97.241]","(267.483, 332.914]"
"(22.491, 27.45]","(19.147, 24.164]","(8.109, 13.274]","(118.481, 139.721]","(332.914, 398.345]"
"(12.574, 17.532]","(9.087, 14.13]","(18.44, 23.605]","(54.655, 76.001]","(201.725, 267.483]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(22.491, 27.45]","(24.164, 29.181]","(8.109, 13.274]","(118.481, 139.721]","(398.345, 463.776]"
"(17.532, 22.491]","(19.147, 24.164]","(13.274, 18.44]","(97.241, 118.481]","(332.914, 398.345]"
"(12.574, 17.532]","(14.13, 19.147]","(13.274, 18.44]","(76.001, 97.241]","(267.483, 332.914]"
