A,B,C,D,E
1,0,2,0,89
2,2,2,3,251
1,0,1,0,41
1,3,2,3,270
0,0,3,0,54
0,3,3,2,213
2,0,0,0,31
0,0,1,0,87
2,2,1,2,215
3,2,0,3,253
1,2,2,2,218
2,1,3,1,172
0,2,0,1,74
3,0,1,1,128
0,2,2,1,125
0,2,1,1,138
0,3,2,2,255
1,1,2,1,168
1,3,3,3,321
0,2,0,1,84
0,0,0,0,1
0,2,0,0,60
0,1,3,1,166
2,0,3,0,122
0,3,0,1,148
3,2,3,3,279
0,3,0,3,228
3,2,0,2,184
3,1,3,3,269
0,0,0,0,4
1,2,2,2,177
1,2,3,2,246
0,1,1,1,121
3,0,3,0,84
1,2,1,2,192
3,1,1,3,250
0,2,0,2,174
2,3,1,2,231
1,3,3,3,314
1,2,2,2,183
2,2,2,2,221
2,2,0,2,192
0,2,0,1,151
0,3,3,2,277
0,2,0,2,173
1,1,3,1,154
0,2,3,1,189
1,0,3,0,56
3,2,3,2,276
0,3,0,2,139
1,3,1,3,241
3,0,0,1,128
0,2,2,1,130
0,0,0,1,112
2,0,0,0,11
1,1,0,1,90
3,1,2,2,231
0,0,2,0,29
2,3,2,3,337
2,1,1,1,149
1,1,1,1,125
0,2,2,2,178
2,1,1,0,100
3,3,2,3,342
2,1,2,1,146
2,2,1,2,196
2,0,2,0,96
1,2,3,2,270
0,3,2,3,321
2,3,3,3,370
3,1,0,2,169
3,2,1,3,250
1,1,3,1,169
3,1,3,2,282
3,0,3,1,122
3,1,2,2,214
0,0,3,0,14
2,1,2,1,168
3,2,3,3,272
3,2,3,3,300
1,2,3,2,231
0,0,3,0,34
0,2,1,3,246
1,0,0,1,94
1,2,1,3,247
2,2,3,2,221
1,2,3,2,199
0,0,3,0,5
1,2,3,2,229
1,0,3,0,80
0,3,2,3,297
0,3,3,2,241
1,2,3,2,237
0,2,0,2,222
1,0,3,0,89
0,2,3,2,216
2,2,0,2,224
2,0,0,1,140
0,1,3,0,116
3,2,0,3,251
2,0,3,0,68
2,3,0,3,254
2,1,2,1,174
3,2,0,2,193
0,1,1,1,119
3,2,2,3,312
0,1,1,1,114
1,2,1,2,216
3,0,3,1,176
0,0,1,0,36
3,3,1,3,358
0,0,3,0,41
0,2,1,1,159
3,0,3,1,200
0,2,0,1,127
0,1,1,0,63
2,2,1,3,290
0,3,1,3,286
0,0,2,0,26
1,2,2,2,213
2,2,2,2,194
1,0,3,0,55
2,1,1,2,139
0,3,3,2,245
3,1,1,2,232
0,2,3,1,188
2,2,2,2,248
3,0,3,2,212
0,0,0,0,75
3,1,0,2,210
0,3,3,2,269
0,2,3,1,207
0,2,1,1,94
0,2,3,2,193
3,1,2,2,240
2,3,3,2,256
3,1,3,2,264
3,2,0,3,305
2,3,3,3,316
1,1,2,2,170
2,2,2,2,234
3,1,0,2,169
1,0,1,1,117
2,0,3,0,141
1,3,3,3,313
1,2,1,2,218
3,2,3,2,271
1,1,2,1,125
2,1,3,2,214
1,0,2,0,52
2,2,0,2,214
0,1,3,1,150
2,0,2,1,126
1,0,3,1,113
3,3,2,3,331
1,1,3,1,173
3,2,1,3,271
3,2,1,3,269
2,1,3,2,240
2,1,2,1,115
2,2,0,2,213
3,1,1,1,119
1,3,3,3,325
3,3,3,3,354
3,1,2,2,206
2,0,2,0,82
1,1,0,1,101
3,2,0,3,241
0,1,3,0,150
0,1,2,2,205
0,3,0,2,216
0,1,2,1,129
3,1,3,2,261
2,1,2,2,194
2,0,3,0,112
2,0,1,1,132
3,2,0,2,200
1,2,0,2,150
2,1,2,1,178
2,1,1,2,169
1,3,1,3,354
0,1,0,1,105
0,0,3,0,63
0,0,0,0,51
0,0,3,0,109
3,0,2,1,140
2,3,1,3,283
3,3,3,3,368
1,0,2,0,18
3,2,1,3,239
0,0,1,0,80
3,1,1,2,202
2,1,2,2,182
3,0,1,1,125
2,2,1,2,178
0,1,0,0,16
3,1,3,1,168
3,1,3,2,239
0,2,2,1,171
0,1,3,1,161
3,3,3,3,371
2,2,3,1,204
3,1,3,3,317
3,2,2,3,260
1,2,2,2,250
0,2,0,1,107
1,2,0,2,168
1,2,2,2,250
1,2,2,1,143
3,3,2,3,336
0,3,2,3,260
3,2,3,2,218
3,2,1,3,292
0,2,2,3,249
0,2,2,1,165
3,2,2,2,215
3,0,2,0,84
1,2,1,2,206
2,1,3,2,221
0,0,1,0,7
3,1,2,1,145
0,3,2,2,242
2,3,1,2,223
1,3,0,3,258
3,0,3,2,214
1,2,0,2,166
0,3,2,2,210
1,1,3,1,175
3,3,1,3,348
1,3,2,3,296
3,2,2,3,341
3,0,3,0,96
1,0,3,1,147
1,3,2,3,262
2,3,1,3,309
3,3,1,3,363
3,1,0,3,242
3,3,1,3,349
3,0,3,1,155
3,1,1,2,218
3,2,2,2,221
0,1,0,0,51
3,0,3,0,103
1,3,2,3,254
3,1,1,2,155
3,1,2,2,197
2,1,1,1,107
0,0,0,0,51
0,3,3,2,234
0,0,3,0,30
3,3,2,3,284
1,2,0,2,197
0,2,3,1,191
0,1,0,1,113
0,3,2,2,175
2,0,3,1,140
3,2,2,3,274
3,1,3,3,332
3,2,0,2,178
0,2,1,2,198
0,2,3,2,221
0,1,0,0,81
3,1,3,2,218
2,1,2,1,141
1,0,1,0,65
1,0,3,1,150
0,2,2,2,208
0,1,3,1,160
1,2,0,2,193
2,2,2,3,276
0,3,2,2,232
0,2,0,1,63
3,3,0,3,274
0,2,0,1,146
2,0,3,1,136
0,0,1,0,24
0,0,3,0,21
0,0,0,0,61
3,2,3,3,321
1,1,2,1,154
3,1,0,2,191
3,3,3,3,368
3,1,1,2,165
3,0,3,1,172
3,1,0,2,143
1,1,3,1,179
2,3,1,3,361
2,0,0,0,68
2,1,2,2,183
3,2,3,2,248
2,0,1,1,136
3,2,3,2,237
1,1,1,1,146
3,2,3,2,254
0,0,3,0,115
2,2,1,2,216
1,0,3,0,76
3,3,2,3,371
2,1,0,1,115
1,2,2,2,216
3,2,3,2,202
3,0,3,0,69
0,0,3,0,18
1,2,3,2,217
2,3,3,3,320
3,0,2,1,154
3,2,0,3,204
1,2,2,2,206
0,0,1,0,77
3,0,3,2,197
2,1,1,1,106
0,0,2,0,32
0,3,2,3,259
3,2,2,3,271
3,2,1,3,242
1,0,2,0,105
0,2,1,1,130
0,2,2,2,195
1,2,1,2,179
0,3,2,2,188
1,2,0,3,226
0,1,3,1,176
1,1,2,2,195
0,2,1,1,137
2,3,3,3,341
1,2,3,2,197
3,2,2,3,295
2,1,0,1,134
1,0,2,0,77
0,0,0,0,73
2,1,3,1,197
0,3,1,2,189
0,2,0,1,101
1,1,1,1,159
0,3,1,2,201
3,2,2,3,303
1,0,3,0,38
0,0,1,0,10
3,3,1,3,342
2,2,3,1,165
2,0,1,2,189
2,1,3,1,188
0,3,3,2,253
3,2,0,2,178
0,2,0,1,133
0,2,1,2,212
1,3,2,3,296
1,1,2,1,132
2,1,2,2,211
3,0,0,2,207
3,2,1,3,275
0,1,2,1,134
2,1,1,1,125
