A,B,C,D,E
"(19.876, 20.711]","(26.993, 28.97]","(19.712, 21.69]","(119.996, 124.738]","(422.0, 447.125]"
"(21.425, 22.131]","(23.224, 24.113]","(15.949, 16.671]","(116.708, 119.996]","(393.593, 408.996]"
"(17.005, 18.04]","(22.128, 23.224]","(22.803, 24.74]","(100.246, 102.489]","(362.086, 370.806]"
"(18.597, 19.091]","(21.439, 22.128]","(5.128, 7.18]","(102.489, 105.017]","(314.076, 325.364]"
"(12.348, 14.041]","(9.629, 12.084]","(15.277, 15.949]","(38.337, 63.044]","(143.357, 240.172]"
"(4.417999999999999, 10.414]","(24.113, 25.6]","(14.209, 15.277]","(77.947, 81.605]","(278.055, 287.232]"
"(21.425, 22.131]","(16.441, 17.106]","(15.949, 16.671]","(89.475, 91.913]","(325.364, 333.729]"
"(14.041, 14.988]","(13.782, 14.653]","(22.803, 24.74]","(38.337, 63.044]","(240.172, 261.419]"
"(22.131, 23.195]","(17.106, 17.645]","(15.949, 16.671]","(83.808, 87.093]","(287.232, 295.99]"
"(25.34, 26.527]","(17.645, 18.399]","(13.544, 14.209]","(102.489, 105.017]","(342.225, 346.744]"
"(19.876, 20.711]","(22.128, 23.224]","(9.137, 10.486]","(102.489, 105.017]","(333.729, 342.225]"
"(21.425, 22.131]","(28.97, 36.268]","(17.422, 18.145]","(124.738, 133.176]","(422.0, 447.125]"
"(10.414, 12.348]","(25.6, 26.993]","(18.145, 18.987]","(98.191, 100.246]","(355.097, 362.086]"
"(24.475, 25.34]","(14.653, 15.586]","(13.544, 14.209]","(98.191, 100.246]","(325.364, 333.729]"
"(4.417999999999999, 10.414]","(20.783, 21.439]","(12.969, 13.544]","(77.947, 81.605]","(278.055, 287.232]"
"(17.005, 18.04]","(23.224, 24.113]","(7.18, 9.137]","(91.913, 95.537]","(303.581, 314.076]"
"(12.348, 14.041]","(1.4220000000000002, 9.629]","(18.987, 19.712]","(38.337, 63.044]","(143.357, 240.172]"
"(19.876, 20.711]","(1.4220000000000002, 9.629]","(14.209, 15.277]","(38.337, 63.044]","(240.172, 261.419]"
"(19.091, 19.876]","(1.4220000000000002, 9.629]","(22.803, 24.74]","(38.337, 63.044]","(143.357, 240.172]"
"(10.414, 12.348]","(18.399, 19.206]","(24.74, 32.01]","(77.947, 81.605]","(314.076, 325.364]"
"(14.988, 16.432]","(17.645, 18.399]","(18.987, 19.712]","(81.605, 83.808]","(314.076, 325.364]"
"(10.414, 12.348]","(19.206, 20.115]","(13.544, 14.209]","(81.605, 83.808]","(287.232, 295.99]"
"(14.988, 16.432]","(23.224, 24.113]","(-1.242, 5.128]","(112.23, 116.708]","(362.086, 370.806]"
"(21.425, 22.131]","(14.653, 15.586]","(17.422, 18.145]","(91.913, 95.537]","(333.729, 342.225]"
"(10.414, 12.348]","(17.645, 18.399]","(5.128, 7.18]","(72.338, 77.947]","(240.172, 261.419]"
"(29.803, 38.612]","(12.084, 13.782]","(14.209, 15.277]","(95.537, 98.191]","(342.225, 346.744]"
"(16.432, 17.005]","(13.782, 14.653]","(15.949, 16.671]","(81.605, 83.808]","(295.99, 303.581]"
"(23.195, 24.475]","(20.115, 20.783]","(10.486, 11.321]","(105.017, 108.171]","(355.097, 362.086]"
"(29.803, 38.612]","(19.206, 20.115]","(22.803, 24.74]","(124.738, 133.176]","(422.0, 447.125]"
"(4.417999999999999, 10.414]","(23.224, 24.113]","(14.209, 15.277]","(95.537, 98.191]","(342.225, 346.744]"
"(17.005, 18.04]","(25.6, 26.993]","(12.969, 13.544]","(116.708, 119.996]","(393.593, 408.996]"
"(18.04, 18.597]","(17.645, 18.399]","(9.137, 10.486]","(87.093, 89.475]","(295.99, 303.581]"
"(14.041, 14.988]","(20.783, 21.439]","(-1.242, 5.128]","(91.913, 95.537]","(287.232, 295.99]"
"(26.527, 27.434]","(15.586, 16.441]","(19.712, 21.69]","(100.246, 102.489]","(370.806, 381.0]"
"(18.597, 19.091]","(15.586, 16.441]","(22.803, 24.74]","(83.808, 87.093]","(325.364, 333.729]"
