A,B,C,D,E
1,0,0,1,21
2,1,3,3,66
1,1,0,3,57
1,1,3,2,58
0,0,1,0,13
0,3,2,3,57
2,1,1,2,51
1,0,0,1,20
2,1,0,4,59
2,0,3,3,63
1,3,2,6,88
2,0,2,1,31
0,3,2,5,81
2,2,2,6,86
0,2,3,3,66
1,1,2,2,57
1,3,2,5,84
1,0,2,1,40
1,2,3,3,75
0,1,1,1,33
1,2,3,4,80
0,2,2,2,45
1,2,0,3,60
2,1,2,3,57
0,1,0,1,31
3,1,2,5,79
1,0,1,0,21
2,0,3,3,70
3,2,0,7,94
0,1,2,1,41
1,2,3,3,71
1,2,3,4,88
1,3,2,4,69
2,2,0,4,70
1,2,2,5,79
3,2,2,6,91
1,0,3,0,34
2,0,2,3,60
1,0,0,1,31
1,0,1,1,35
2,2,1,5,72
2,1,0,3,49
1,1,3,1,44
1,3,2,6,87
1,1,0,2,52
1,0,1,0,15
0,1,2,1,39
1,1,2,2,56
2,3,3,6,100
0,0,0,0,17
1,1,2,2,60
3,1,3,6,98
1,0,1,1,35
1,1,1,2,51
2,1,2,3,62
1,2,3,5,82
2,0,0,2,40
0,2,2,2,53
1,0,0,1,21
1,3,2,8,112
1,1,1,2,50
1,2,3,2,61
2,1,2,3,60
3,0,1,0,23
1,0,2,0,11
1,2,1,5,76
2,3,3,7,108
1,0,0,1,33
1,2,2,3,58
2,2,2,4,69
3,0,1,2,50
2,0,1,3,61
1,0,2,2,49
2,0,1,2,47
2,3,0,7,95
3,2,2,6,95
0,2,1,4,67
2,0,0,2,42
3,2,3,6,94
3,2,3,6,97
1,2,3,4,79
1,3,0,5,72
1,2,2,3,66
1,1,0,3,54
1,1,1,3,56
2,2,1,5,74
1,3,0,6,71
1,2,2,2,56
1,2,1,5,74
1,1,2,2,55
1,0,2,1,31
0,0,3,1,43
1,1,0,2,43
1,2,0,4,65
1,2,2,6,81
1,1,2,1,45
2,3,3,7,111
2,2,1,4,70
0,0,2,0,5
2,0,1,1,41
1,3,3,8,123
2,2,2,3,57
2,0,3,2,57
2,1,3,3,75
1,3,1,5,76
3,2,3,5,87
1,2,1,2,49
1,2,1,5,71
2,3,3,6,106
0,1,3,1,52
3,1,2,5,77
1,0,1,1,39
1,2,3,4,75
3,1,1,6,79
0,1,1,1,36
0,1,3,1,53
2,1,1,4,58
1,0,1,1,26
1,2,3,2,60
1,3,2,6,96
2,1,2,3,59
1,2,2,4,73
2,0,2,1,36
0,0,0,1,21
3,0,3,0,35
0,2,2,1,41
1,2,3,3,81
3,0,1,3,63
1,0,2,0,24
2,1,1,4,74
1,2,3,3,69
0,0,2,1,29
0,0,3,0,26
1,2,2,3,61
3,3,0,8,118
2,2,1,5,75
2,1,2,5,81
3,3,3,8,125
2,2,1,5,74
1,3,2,5,86
2,2,1,5,76
2,3,3,6,96
1,2,3,5,89
2,0,0,1,26
1,0,2,2,49
1,2,1,3,57
3,0,2,2,58
1,2,0,3,53
2,2,3,5,90
1,0,2,1,34
2,1,3,3,65
1,3,3,6,96
1,1,2,1,42
1,3,2,7,101
2,1,2,5,82
1,3,3,5,93
2,3,2,8,115
3,1,0,3,46
2,3,0,7,94
1,0,2,1,43
2,3,1,6,89
2,0,1,2,50
1,1,2,2,48
3,3,2,7,97
2,1,3,5,86
1,0,0,2,46
1,1,1,2,48
3,3,3,6,99
1,1,3,2,63
1,0,2,0,24
1,2,1,3,53
1,2,0,5,62
2,3,1,8,108
2,1,2,4,73
2,2,2,6,91
2,1,2,2,49
3,2,2,5,85
1,1,2,3,58
2,0,2,1,45
2,1,2,4,76
1,0,2,1,39
1,2,3,2,58
0,1,2,1,38
0,0,1,1,37
1,1,0,1,22
2,2,1,6,80
2,2,1,4,66
3,2,3,6,100
1,2,3,2,68
2,3,2,6,100
1,2,1,3,50
2,2,3,6,100
1,0,2,1,50
2,2,2,5,85
1,1,2,4,64
0,2,1,1,38
2,3,1,7,101
2,3,3,7,108
0,1,2,1,38
1,3,1,4,70
2,3,2,7,99
