A,B,C,D,E
"(18.512, 21.361]","(15.54, 18.331]","(13.646, 16.644]","(91.431, 102.667]","(324.112, 360.728]"
"(21.361, 24.209]","(32.284, 35.074]","(7.649, 10.647]","(147.608, 158.843]","(470.574, 507.189]"
"(15.664, 18.512]","(18.331, 21.121]","(4.65, 7.649]","(80.196, 91.431]","(287.497, 324.112]"
"(18.512, 21.361]","(12.749, 15.54]","(16.644, 19.643]","(68.961, 80.196]","(250.881, 287.497]"
"(9.968, 12.816]","(12.749, 15.54]","(1.651, 4.65]","(57.725, 68.961]","(214.266, 250.881]"
"(4.271, 7.119]","(9.959, 12.749]","(19.643, 22.641]","(46.49, 57.725]","(214.266, 250.881]"
"(21.361, 24.209]","(12.749, 15.54]","(22.641, 25.64]","(91.431, 102.667]","(324.112, 360.728]"
"(12.816, 15.664]","(26.702, 29.493]","(16.644, 19.643]","(113.902, 125.137]","(397.343, 433.958]"
"(21.361, 24.209]","(26.702, 29.493]","(19.643, 22.641]","(125.137, 136.373]","(433.958, 470.574]"
"(24.209, 27.057]","(1.548, 4.377]","(19.643, 22.641]","(68.961, 80.196]","(250.881, 287.497]"
"(18.512, 21.361]","(21.121, 23.912]","(16.644, 19.643]","(102.667, 113.902]","(360.728, 397.343]"
"(21.361, 24.209]","(12.749, 15.54]","(19.643, 22.641]","(80.196, 91.431]","(324.112, 360.728]"
"(9.968, 12.816]","(12.749, 15.54]","(7.649, 10.647]","(68.961, 80.196]","(214.266, 250.881]"
"(24.209, 27.057]","(15.54, 18.331]","(13.646, 16.644]","(102.667, 113.902]","(360.728, 397.343]"
"(7.119, 9.968]","(9.959, 12.749]","(7.649, 10.647]","(46.49, 57.725]","(177.651, 214.266]"
"(15.664, 18.512]","(21.121, 23.912]","(10.647, 13.646]","(91.431, 102.667]","(324.112, 360.728]"
"(12.816, 15.664]","(15.54, 18.331]","(19.643, 22.641]","(68.961, 80.196]","(287.497, 324.112]"
"(18.512, 21.361]","(12.749, 15.54]","(19.643, 22.641]","(80.196, 91.431]","(324.112, 360.728]"
"(18.512, 21.361]","(15.54, 18.331]","(10.647, 13.646]","(80.196, 91.431]","(287.497, 324.112]"
"(9.968, 12.816]","(23.912, 26.702]","(16.644, 19.643]","(91.431, 102.667]","(360.728, 397.343]"
"(15.664, 18.512]","(15.54, 18.331]","(10.647, 13.646]","(68.961, 80.196]","(214.266, 250.881]"
"(9.968, 12.816]","(32.284, 35.074]","(16.644, 19.643]","(113.902, 125.137]","(397.343, 433.958]"
"(15.664, 18.512]","(18.331, 21.121]","(10.647, 13.646]","(80.196, 91.431]","(250.881, 287.497]"
"(21.361, 24.209]","(15.54, 18.331]","(4.65, 7.649]","(91.431, 102.667]","(287.497, 324.112]"
"(9.968, 12.816]","(18.331, 21.121]","(28.638, 31.637]","(80.196, 91.431]","(324.112, 360.728]"
"(29.905, 32.753]","(23.912, 26.702]","(7.649, 10.647]","(125.137, 136.373]","(397.343, 433.958]"
"(15.664, 18.512]","(23.912, 26.702]","(16.644, 19.643]","(102.667, 113.902]","(324.112, 360.728]"
"(21.361, 24.209]","(21.121, 23.912]","(4.65, 7.649]","(102.667, 113.902]","(324.112, 360.728]"
"(32.753, 35.602]","(23.912, 26.702]","(10.647, 13.646]","(125.137, 136.373]","(397.343, 433.958]"
"(9.968, 12.816]","(18.331, 21.121]","(13.646, 16.644]","(68.961, 80.196]","(250.881, 287.497]"
"(15.664, 18.512]","(26.702, 29.493]","(16.644, 19.643]","(102.667, 113.902]","(360.728, 397.343]"
"(15.664, 18.512]","(26.702, 29.493]","(22.641, 25.64]","(125.137, 136.373]","(433.958, 470.574]"
"(12.816, 15.664]","(21.121, 23.912]","(16.644, 19.643]","(91.431, 102.667]","(324.112, 360.728]"
