A,B,C,D,E
"(19.784, 20.053]","(18.878, 19.171]","(14.875, 15.115]","(99.244, 100.271]","(340.458, 343.72]"
"(20.398, 20.646]","(17.584, 18.08]","(11.954, 12.837]","(96.274, 97.32]","(323.12, 328.306]"
"(18.956, 19.287]","(18.878, 19.171]","(9.864, 11.954]","(97.32, 98.492]","(323.12, 328.306]"
"(19.523, 19.784]","(20.103, 20.343]","(14.875, 15.115]","(98.492, 99.244]","(336.16, 340.458]"
"(16.911, 17.609]","(19.459, 19.732]","(15.115, 15.385]","(93.21, 94.589]","(323.12, 328.306]"
"(14.592, 16.911]","(20.103, 20.343]","(15.385, 15.69]","(88.201, 91.19]","(317.184, 323.12]"
"(20.398, 20.646]","(20.579, 20.978]","(16.782, 17.314]","(100.271, 101.229]","(353.051, 355.465]"
"(18.146, 18.645]","(20.343, 20.579]","(15.937, 16.347]","(94.589, 96.274]","(332.87, 336.16]"
"(20.646, 21.054]","(18.878, 19.171]","(13.419, 13.736]","(94.589, 96.274]","(317.184, 323.12]"
"(21.852, 22.354]","(18.521, 18.878]","(15.115, 15.385]","(98.492, 99.244]","(343.72, 347.186]"
"(19.784, 20.053]","(19.171, 19.459]","(13.419, 13.736]","(102.452, 103.58]","(350.263, 353.051]"
"(20.398, 20.646]","(20.343, 20.579]","(18.008, 20.67]","(98.492, 99.244]","(355.465, 360.31]"
"(16.911, 17.609]","(19.732, 20.103]","(15.385, 15.69]","(97.32, 98.492]","(340.458, 343.72]"
"(21.425, 21.852]","(21.337, 21.868]","(15.115, 15.385]","(108.029, 111.409]","(372.17, 379.023]"
"(14.592, 16.911]","(22.969, 25.423]","(11.954, 12.837]","(98.492, 99.244]","(332.87, 336.16]"
"(18.956, 19.287]","(20.579, 20.978]","(15.937, 16.347]","(102.452, 103.58]","(355.465, 360.31]"
"(17.609, 18.146]","(21.868, 22.393]","(9.864, 11.954]","(101.229, 102.452]","(340.458, 343.72]"
"(19.784, 20.053]","(21.868, 22.393]","(14.522, 14.875]","(103.58, 104.782]","(355.465, 360.31]"
"(19.523, 19.784]","(13.807, 16.696]","(16.347, 16.782]","(91.19, 93.21]","(323.12, 328.306]"
"(14.592, 16.911]","(17.584, 18.08]","(9.864, 11.954]","(79.801, 88.201]","(281.726, 306.329]"
"(18.645, 18.956]","(17.584, 18.08]","(15.385, 15.69]","(88.201, 91.19]","(317.184, 323.12]"
"(16.911, 17.609]","(22.969, 25.423]","(15.69, 15.937]","(103.58, 104.782]","(353.051, 355.465]"
"(18.645, 18.956]","(20.978, 21.337]","(15.69, 15.937]","(103.58, 104.782]","(355.465, 360.31]"
"(20.646, 21.054]","(17.584, 18.08]","(12.837, 13.419]","(97.32, 98.492]","(332.87, 336.16]"
"(16.911, 17.609]","(17.584, 18.08]","(11.954, 12.837]","(79.801, 88.201]","(281.726, 306.329]"
"(23.017, 26.204]","(13.807, 16.696]","(15.69, 15.937]","(94.589, 96.274]","(332.87, 336.16]"
"(18.956, 19.287]","(13.807, 16.696]","(15.937, 16.347]","(79.801, 88.201]","(306.329, 317.184]"
"(21.054, 21.425]","(22.969, 25.423]","(18.008, 20.67]","(111.409, 117.296]","(379.023, 399.175]"
"(23.017, 26.204]","(20.579, 20.978]","(11.954, 12.837]","(111.409, 117.296]","(365.669, 372.17]"
"(14.592, 16.911]","(22.393, 22.969]","(14.325, 14.522]","(101.229, 102.452]","(343.72, 347.186]"
"(18.956, 19.287]","(17.584, 18.08]","(14.875, 15.115]","(91.19, 93.21]","(306.329, 317.184]"
"(19.287, 19.523]","(20.343, 20.579]","(13.419, 13.736]","(101.229, 102.452]","(347.186, 350.263]"
"(17.609, 18.146]","(19.171, 19.459]","(17.314, 18.008]","(91.19, 93.21]","(328.306, 332.87]"
