A,B,C,D,E
2,3,13,4,66
2,3,13,3,47
1,0,15,2,32
1,1,14,2,30
0,2,14,2,28
0,3,15,3,54
2,3,13,4,67
0,1,13,1,14
2,0,14,2,28
3,3,0,4,53
2,2,14,3,55
2,0,14,1,18
0,0,13,0,13
3,3,14,4,73
0,3,15,3,50
1,2,14,2,28
0,0,15,0,14
2,0,14,1,17
1,1,7,2,20
0,0,13,0,2
1,1,15,2,38
0,0,14,0,12
1,1,15,1,33
2,0,14,2,29
0,2,14,2,36
3,1,14,3,57
1,3,14,3,52
2,2,14,4,55
3,2,14,4,69
0,0,14,0,11
1,2,15,2,46
1,0,13,0,6
0,0,14,1,22
3,1,14,3,52
1,0,15,0,16
3,3,13,5,85
1,1,12,2,33
2,0,14,0,13
1,3,14,3,59
1,2,14,3,58
2,2,14,4,66
2,2,13,3,50
0,0,13,1,14
1,3,13,2,38
1,1,14,1,23
1,0,14,1,23
0,1,14,2,24
1,1,14,2,28
3,2,14,4,69
0,3,12,4,56
1,3,13,4,59
3,0,11,3,32
1,2,14,2,35
0,2,13,2,37
2,0,14,1,17
2,0,5,0,1
3,0,14,1,20
0,1,14,2,33
2,1,14,2,38
2,2,11,2,32
1,2,13,3,42
1,0,14,1,15
2,1,14,2,37
3,0,14,2,30
2,0,13,1,16
2,2,13,3,45
2,2,14,3,52
1,2,12,3,40
1,3,14,3,52
2,1,14,2,29
3,2,14,4,61
2,0,14,2,38
1,0,14,1,15
3,1,3,3,39
3,0,14,2,39
3,0,14,2,28
0,0,14,0,15
2,0,14,2,35
3,0,15,3,57
3,1,12,3,40
1,2,14,3,42
1,2,14,2,27
1,3,14,3,46
1,1,15,2,39
1,1,14,2,28
2,2,14,3,51
1,3,13,4,71
1,3,14,2,41
1,2,14,3,57
1,1,14,2,30
1,2,14,2,35
0,1,13,1,15
1,1,14,2,35
1,0,14,1,19
1,3,15,3,63
0,3,15,4,72
2,2,14,2,46
2,0,14,1,21
0,3,12,2,15
3,3,14,3,59
2,1,12,2,24
2,0,14,2,29
2,1,14,3,48
2,2,13,3,50
0,1,15,2,33
3,2,14,4,67
1,2,14,2,42
1,2,13,3,47
2,1,12,2,27
0,1,14,1,20
3,1,15,3,62
1,2,14,2,39
1,2,14,2,39
3,3,12,5,75
0,3,14,3,45
0,2,14,2,34
2,3,14,4,65
0,3,14,3,56
0,0,14,0,13
1,0,14,1,24
2,0,14,2,22
1,3,15,3,63
2,3,14,3,44
0,0,15,0,12
3,0,14,2,33
0,0,14,0,0
2,0,6,1,6
3,3,14,5,86
1,2,12,2,35
3,3,14,4,67
0,0,14,0,12
0,2,10,2,31
0,1,15,0,15
1,2,14,2,34
3,0,11,2,25
2,0,14,0,3
2,2,13,4,58
3,0,14,4,63
2,3,14,4,57
1,1,14,2,40
2,0,14,2,36
3,1,14,2,40
2,3,14,4,62
2,2,14,4,61
1,0,13,0,8
1,3,14,3,58
3,2,14,4,68
1,3,15,5,84
2,0,13,2,25
1,3,15,4,69
2,2,14,3,42
0,0,1,0,4
2,1,15,3,53
2,1,14,2,36
3,2,15,3,63
1,0,12,0,7
3,3,14,5,79
3,1,14,3,58
2,3,14,4,64
2,0,14,2,22
2,3,13,5,78
3,0,14,2,32
1,2,15,3,60
3,0,14,2,27
3,1,14,3,44
2,2,14,3,43
1,3,15,3,50
3,3,15,4,80
0,0,14,1,21
1,2,15,3,67
0,1,15,1,24
1,2,15,3,58
3,2,13,4,60
2,1,13,2,35
2,3,9,5,74
2,3,13,4,53
3,2,15,4,76
1,1,10,2,31
2,0,14,2,27
2,2,12,3,49
1,0,14,1,13
1,2,14,2,40
0,3,15,3,60
0,0,14,0,7
1,3,14,3,43
2,0,15,2,43
2,2,14,3,46
3,1,14,3,57
1,0,14,2,28
3,2,14,4,60
0,0,14,0,10
3,3,13,3,53
2,1,13,2,29
3,0,14,2,37
2,1,14,2,47
0,2,15,2,32
3,3,14,4,63
3,0,13,2,28
0,3,14,2,44
0,0,14,1,17
2,1,14,2,36
2,0,13,0,5
3,3,8,4,61
3,0,14,1,15
2,1,14,2,30
0,1,14,2,22
1,3,14,3,60
1,2,14,2,42
2,2,13,3,50
3,2,14,3,56
