X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
1.0,"(1.183, 1.338]",1.0,"(-0.73, -0.612]",0.0,0.0,"(0.291, 0.372]",1.0,"(0.517, 0.612]","(-0.605, -0.534]","(1.41, 1.795]","(-1.192, -1.049]"
1.0,"(0.119, 0.222]",1.0,"(0.623, 0.724]",0.0,2.0,"(-0.291, -0.206]",2.0,"(0.819, 0.956]","(-0.258, -0.147]","(-1.275, -1.174]","(0.657, 0.79]"
1.0,"(-0.322, -0.215]",2.0,"(1.838, 3.406]",0.0,1.0,"(0.205, 0.291]",1.0,"(-1.244, -1.063]","(0.0804, 0.211]","(-0.453, -0.384]","(-0.17, -0.0933]"
0.0,"(-0.093, 0.016]",1.0,"(-1.867, -1.551]",1.0,1.0,"(-1.093, -0.929]",1.0,"(-1.063, -0.935]","(-1.425, -1.294]","(-0.588, -0.523]","(-0.746, -0.659]"
1.0,"(0.222, 0.328]",1.0,"(0.515, 0.623]",1.0,2.0,"(0.46, 0.554]",0.0,"(0.819, 0.956]","(-0.605, -0.534]","(-0.384, -0.308]","(0.437, 0.528]"
0.0,"(-1.285, -1.155]",0.0,"(0.0896, 0.164]",0.0,2.0,"(-1.263, -1.093]",0.0,"(-0.0167, 0.0636]","(-2.335, -2.042]","(-0.158, -0.0769]","(-0.0933, -0.0117]"
1.0,"(-0.738, -0.635]",2.0,"(0.724, 0.842]",1.0,2.0,"(1.146, 1.314]",2.0,"(-3.3329999999999997, -1.807]","(0.211, 0.334]","(-0.717, -0.656]","(0.35, 0.437]"
1.0,"(-1.428, -1.285]",2.0,"(1.52, 1.838]",0.0,2.0,"(1.314, 1.542]",0.0,"(-1.462, -1.244]","(0.478, 0.671]","(0.891, 1.121]","(0.94, 1.134]"
0.0,"(-1.828, -1.602]",2.0,"(-0.841, -0.73]",0.0,0.0,"(-0.49, -0.375]",2.0,"(-0.935, -0.812]","(0.211, 0.334]","(0.891, 1.121]","(-0.378, -0.3]"
0.0,"(1.183, 1.338]",0.0,"(-3.385, -1.867]",0.0,0.0,"(-0.375, -0.291]",2.0,"(-1.063, -0.935]","(-1.002, -0.914]","(1.121, 1.41]","(-4.031000000000001, -1.966]"
1.0,"(0.627, 0.735]",1.0,"(0.724, 0.842]",0.0,2.0,"(0.993, 1.146]",2.0,"(-0.0167, 0.0636]","(-0.838, -0.76]","(-1.012, -0.932]","(-0.0933, -0.0117]"
1.0,"(-0.536, -0.453]",1.0,"(1.52, 1.838]",1.0,2.0,"(-0.929, -0.817]",0.0,"(1.08, 1.266]","(-0.453, -0.359]","(-1.086, -1.012]","(1.448, 3.841]"
0.0,"(0.735, 0.833]",0.0,"(-0.328, -0.238]",0.0,0.0,"(0.46, 0.554]",1.0,"(0.71, 0.819]","(-0.534, -0.453]","(-0.158, -0.0769]","(-1.597, -1.363]"
1.0,"(1.338, 1.565]",1.0,"(0.334, 0.424]",0.0,2.0,"(0.655, 0.767]",1.0,"(0.819, 0.956]","(-1.08, -1.002]","(0.435, 0.565]","(-1.363, -1.192]"
1.0,"(0.119, 0.222]",2.0,"(0.334, 0.424]",0.0,0.0,"(1.146, 1.314]",0.0,"(-1.244, -1.063]","(-1.294, -1.174]","(-0.523, -0.453]","(0.79, 0.94]"
0.0,"(-0.453, -0.322]",0.0,"(0.724, 0.842]",0.0,2.0,"(0.291, 0.372]",2.0,"(0.156, 0.255]","(-1.294, -1.174]","(-0.588, -0.523]","(-0.746, -0.659]"
1.0,"(-0.322, -0.215]",0.0,"(0.724, 0.842]",1.0,1.0,"(1.146, 1.314]",0.0,"(0.819, 0.956]","(-0.147, -0.0201]","(-0.384, -0.308]","(0.94, 1.134]"
1.0,"(-0.738, -0.635]",2.0,"(0.974, 1.12]",1.0,2.0,"(0.372, 0.46]",0.0,"(-0.607, -0.503]","(1.529, 2.116]","(-0.0769, 0.00562]","(1.134, 1.448]"
0.0,"(-1.602, -1.428]",2.0,"(0.515, 0.623]",1.0,0.0,"(-1.464, -1.263]",2.0,"(0.517, 0.612]","(-0.359, -0.258]","(0.435, 0.565]","(0.657, 0.79]"
0.0,"(0.328, 0.435]",0.0,"(-0.73, -0.612]",0.0,1.0,"(0.291, 0.372]",2.0,"(-0.702, -0.607]","(-1.718, -1.561]","(-0.158, -0.0769]","(0.243, 0.35]"
0.0,"(0.524, 0.627]",0.0,"(0.424, 0.515]",0.0,0.0,"(0.0382, 0.127]",1.0,"(-0.238, -0.167]","(0.919, 1.195]","(0.111, 0.218]","(-1.192, -1.049]"
1.0,"(-0.322, -0.215]",2.0,"(-0.987, -0.841]",1.0,2.0,"(1.146, 1.314]",2.0,"(-1.807, -1.462]","(0.671, 0.919]","(-1.012, -0.932]","(0.0732, 0.149]"
1.0,"(0.328, 0.435]",2.0,"(1.299, 1.52]",1.0,0.0,"(0.46, 0.554]",2.0,"(1.8, 3.128]","(2.116, 5.172]","(-0.308, -0.229]","(0.149, 0.243]"
1.0,"(1.049, 1.183]",0.0,"(0.974, 1.12]",1.0,1.0,"(0.0382, 0.127]",2.0,"(1.483, 1.8]","(-1.08, -1.002]","(-0.308, -0.229]","(-0.17, -0.0933]"
