X,Y
1,"(22.66, 25.625]"
1,"(25.625, 28.591]"
0,"(19.694, 22.66]"
0,"(4.866, 7.832]"
0,"(28.591, 31.556]"
0,"(25.625, 28.591]"
0,"(13.763, 16.729]"
0,"(7.832, 10.797]"
0,"(13.763, 16.729]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(13.763, 16.729]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(19.694, 22.66]"
0,"(25.625, 28.591]"
1,"(25.625, 28.591]"
0,"(22.66, 25.625]"
0,"(28.591, 31.556]"
0,"(31.556, 34.522]"
0,"(1.901, 4.866]"
0,"(10.797, 13.763]"
1,"(22.66, 25.625]"
0,"(34.522, 37.488]"
1,"(25.625, 28.591]"
0,"(7.832, 10.797]"
1,"(22.66, 25.625]"
0,"(-1.065, 1.901]"
1,"(22.66, 25.625]"
0,"(40.453, 43.419]"
1,"(22.66, 25.625]"
0,"(34.522, 37.488]"
0,"(10.797, 13.763]"
1,"(22.66, 25.625]"
0,"(16.729, 19.694]"
0,"(16.729, 19.694]"
1,"(22.66, 25.625]"
0,"(-10.021, -6.996]"
1,"(22.66, 25.625]"
0,"(7.832, 10.797]"
0,"(31.556, 34.522]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(13.763, 16.729]"
1,"(25.625, 28.591]"
0,"(22.66, 25.625]"
0,"(-1.065, 1.901]"
0,"(31.556, 34.522]"
1,"(22.66, 25.625]"
1,"(25.625, 28.591]"
0,"(10.797, 13.763]"
0,"(28.591, 31.556]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(16.729, 19.694]"
0,"(16.729, 19.694]"
0,"(19.694, 22.66]"
0,"(1.901, 4.866]"
0,"(28.591, 31.556]"
1,"(22.66, 25.625]"
1,"(25.625, 28.591]"
0,"(10.797, 13.763]"
0,"(40.453, 43.419]"
0,"(10.797, 13.763]"
0,"(19.694, 22.66]"
0,"(4.866, 7.832]"
0,"(13.763, 16.729]"
1,"(22.66, 25.625]"
1,"(25.625, 28.591]"
0,"(28.591, 31.556]"
0,"(10.797, 13.763]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(22.66, 25.625]"
0,"(16.729, 19.694]"
0,"(34.522, 37.488]"
0,"(28.591, 31.556]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(34.522, 37.488]"
1,"(22.66, 25.625]"
1,"(25.625, 28.591]"
0,"(10.797, 13.763]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(10.797, 13.763]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(25.625, 28.591]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
1,"(22.66, 25.625]"
0,"(19.694, 22.66]"
1,"(25.625, 28.591]"
1,"(22.66, 25.625]"
0,"(28.591, 31.556]"
0,"(4.866, 7.832]"
1,"(22.66, 25.625]"
