X,Y
2,24
2,25
0,18
0,7
0,29
0,26
0,14
0,9
0,15
2,24
2,23
2,24
2,24
0,21
2,23
0,14
2,23
2,24
0,19
0,26
2,25
0,24
0,29
0,31
0,4
0,10
2,23
0,34
2,24
0,9
2,22
0,1
2,22
0,40
2,24
0,33
0,10
2,24
0,15
0,18
2,22
0,0
2,24
0,8
0,30
2,23
2,22
0,14
2,24
0,24
0,1
0,30
2,24
2,26
0,12
0,30
2,23
2,22
0,17
0,16
0,21
0,4
0,30
2,23
2,25
0,11
0,40
0,11
0,19
0,5
0,14
2,24
2,24
0,29
0,10
2,24
2,23
2,24
0,21
0,18
0,36
0,28
2,24
2,23
2,22
2,24
2,22
2,24
0,36
2,22
2,25
0,11
2,24
2,23
0,10
2,24
2,22
0,27
2,23
2,22
2,23
0,21
2,24
2,23
0,29
0,7
2,23
0,0
0,30
0,2
2,23
0,15
0,29
0,21
0,25
0,18
0,13
0,31
0,33
0,20
0,22
0,21
0,11
0,27
2,25
2,23
2,23
0,22
2,23
0,33
2,23
2,24
2,23
2,24
2,23
0,34
0,25
0,34
0,33
2,22
0,12
2,24
2,25
2,23
2,25
0,11
0,13
0,18
0,22
2,24
0,13
0,36
0,20
2,23
0,18
2,25
0,22
2,24
2,22
2,21
2,23
0,14
0,14
0,15
0,7
2,24
0,6
2,24
0,23
0,17
2,22
2,23
2,23
2,24
2,23
0,37
0,21
2,23
2,23
2,24
2,23
2,23
0,16
0,25
2,23
2,24
0,25
2,23
0,22
2,25
0,27
0,10
0,19
2,25
2,24
0,24
0,11
2,24
0,6
2,23
2,23
2,22
2,23
2,24
2,24
2,23
2,23
0,7
2,25
2,23
2,23
0,33
0,10
0,9
0,27
0,0
2,24
2,24
2,23
2,24
0,32
2,23
2,25
2,23
0,0
2,23
0,35
0,15
0,38
0,25
2,23
2,23
2,23
0,18
2,23
0,24
2,25
2,22
2,24
0,28
2,25
0,12
2,22
2,23
2,24
2,25
0,22
2,22
2,23
2,23
0,20
0,19
2,24
2,25
0,28
0,3
2,23
2,22
0,19
2,23
0,17
0,0
2,24
2,24
0,30
2,22
2,23
0,16
0,15
2,24
2,23
0,9
0,23
2,22
0,20
2,23
0,25
2,24
0,22
2,21
0,28
2,23
0,29
0,22
0,36
2,22
2,24
2,24
0,22
0,35
2,24
2,23
0,11
0,25
2,24
2,23
2,23
2,22
2,24
2,23
0,36
2,26
0,27
2,23
0,3
2,24
0,6
0,19
2,24
2,23
0,34
2,23
0,17
0,11
2,22
2,25
0,34
0,22
2,24
0,6
2,23
0,20
2,24
2,24
0,19
2,23
2,23
2,25
0,15
0,31
2,24
2,23
0,0
2,23
2,22
2,23
0,17
0,0
0,32
0,26
2,22
0,22
0,10
0,25
0,15
0,27
0,25
2,24
0,17
2,23
0,12
0,24
0,27
0,34
0,8
2,25
0,20
0,0
2,25
2,24
2,25
2,22
0,30
2,24
2,24
2,23
2,23
2,23
2,26
2,24
2,23
0,23
0,31
2,25
2,24
0,39
2,25
0,41
0,9
2,23
2,21
2,22
0,39
0,1
2,24
2,22
0,13
2,23
2,25
2,23
0,16
2,25
2,23
0,21
0,25
2,23
2,24
2,23
2,22
2,24
2,25
0,32
0,16
2,22
0,26
0,25
0,19
0,9
0,0
0,19
0,21
0,22
0,28
2,24
0,12
2,24
0,13
2,25
0,21
0,21
2,22
2,24
0,4
0,18
0,26
2,21
0,22
0,23
2,24
0,12
0,7
0,23
2,24
2,25
2,22
2,23
2,24
0,13
0,32
0,23
0,4
0,21
2,23
2,22
0,8
2,23
2,23
2,22
0,24
0,24
2,25
0,44
0,13
0,43
0,21
0,32
2,23
2,23
0,22
2,23
0,27
2,23
0,8
0,11
2,22
0,15
2,24
0,0
0,23
2,25
0,18
2,23
2,23
2,23
0,27
0,32
0,34
0,23
0,24
0,23
0,13
0,24
0,12
0,36
0,42
2,24
2,23
0,20
2,23
0,11
2,22
2,23
0,26
2,23
0,11
2,23
0,35
0,31
2,23
2,23
