X,Y
1,"(4.24, 5.437]"
1,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(2.989, 4.24]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(4.24, 5.437]"
0,"(2.989, 4.24]"
0,"(4.24, 5.437]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(4.24, 5.437]"
1,"(4.24, 5.437]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
1,"(2.989, 4.24]"
1,"(4.24, 5.437]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(-1.0219999999999998, 2.989]"
0,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
0,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(2.989, 4.24]"
1,"(4.24, 5.437]"
0,"(4.24, 5.437]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
0,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(2.989, 4.24]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
1,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(6.948, 11.67]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(4.24, 5.437]"
0,"(5.437, 6.948]"
0,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(5.437, 6.948]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(4.24, 5.437]"
0,"(5.437, 6.948]"
0,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
1,"(4.24, 5.437]"
1,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(5.437, 6.948]"
0,"(4.24, 5.437]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
0,"(2.989, 4.24]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
1,"(4.24, 5.437]"
1,"(5.437, 6.948]"
1,"(2.989, 4.24]"
1,"(5.437, 6.948]"
0,"(4.24, 5.437]"
0,"(4.24, 5.437]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
1,"(4.24, 5.437]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(5.437, 6.948]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
0,"(4.24, 5.437]"
0,"(4.24, 5.437]"
0,"(2.989, 4.24]"
1,"(4.24, 5.437]"
0,"(2.989, 4.24]"
1,"(4.24, 5.437]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(6.948, 11.67]"
1,"(4.24, 5.437]"
0,"(5.437, 6.948]"
0,"(4.24, 5.437]"
1,"(5.437, 6.948]"
0,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(4.24, 5.437]"
1,"(5.437, 6.948]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(2.989, 4.24]"
1,"(5.437, 6.948]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
0,"(6.948, 11.67]"
0,"(2.989, 4.24]"
0,"(2.989, 4.24]"
0,"(6.948, 11.67]"
0,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(6.948, 11.67]"
1,"(2.989, 4.24]"
0,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(5.437, 6.948]"
0,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(4.24, 5.437]"
1,"(5.437, 6.948]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
1,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
1,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
0,"(4.24, 5.437]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(6.948, 11.67]"
1,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
0,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
0,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
1,"(4.24, 5.437]"
0,"(2.989, 4.24]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(5.437, 6.948]"
1,"(4.24, 5.437]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(5.437, 6.948]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
0,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
0,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(2.989, 4.24]"
0,"(6.948, 11.67]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
0,"(4.24, 5.437]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(2.989, 4.24]"
1,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(-1.0219999999999998, 2.989]"
1,"(5.437, 6.948]"
1,"(4.24, 5.437]"
1,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(6.948, 11.67]"
1,"(4.24, 5.437]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(5.437, 6.948]"
1,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
1,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
1,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
1,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(2.989, 4.24]"
0,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
0,"(4.24, 5.437]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
1,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
1,"(4.24, 5.437]"
0,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
1,"(4.24, 5.437]"
0,"(4.24, 5.437]"
0,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(4.24, 5.437]"
1,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(5.437, 6.948]"
0,"(6.948, 11.67]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
1,"(2.989, 4.24]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
0,"(2.989, 4.24]"
0,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(4.24, 5.437]"
1,"(4.24, 5.437]"
0,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
1,"(6.948, 11.67]"
0,"(5.437, 6.948]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
1,"(-1.0219999999999998, 2.989]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(5.437, 6.948]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(4.24, 5.437]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
0,"(5.437, 6.948]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
1,"(-1.0219999999999998, 2.989]"
1,"(2.989, 4.24]"
0,"(6.948, 11.67]"
1,"(2.989, 4.24]"
0,"(4.24, 5.437]"
1,"(2.989, 4.24]"
0,"(6.948, 11.67]"
0,"(6.948, 11.67]"
1,"(-1.0219999999999998, 2.989]"
1,"(-1.0219999999999998, 2.989]"
