X,Y
0,"(7.145, 10.79]"
1,"(7.145, 10.79]"
1,"(3.268, 3.948]"
1,"(-2.193, 1.498]"
1,"(5.45, 6.279]"
1,"(4.88, 5.45]"
1,"(2.52, 3.268]"
1,"(1.498, 2.52]"
1,"(2.52, 3.268]"
1,"(3.948, 4.475]"
0,"(5.45, 6.279]"
1,"(3.948, 4.475]"
0,"(6.279, 7.145]"
1,"(3.948, 4.475]"
1,"(2.52, 3.268]"
1,"(2.52, 3.268]"
0,"(4.88, 5.45]"
1,"(4.475, 4.88]"
1,"(3.268, 3.948]"
1,"(4.88, 5.45]"
1,"(7.145, 10.79]"
1,"(4.475, 4.88]"
1,"(5.45, 6.279]"
1,"(6.279, 7.145]"
1,"(-2.193, 1.498]"
1,"(1.498, 2.52]"
0,"(3.948, 4.475]"
1,"(6.279, 7.145]"
0,"(7.145, 10.79]"
1,"(1.498, 2.52]"
1,"(1.498, 2.52]"
1,"(-2.193, 1.498]"
1,"(-2.193, 1.498]"
1,"(7.145, 10.79]"
0,"(6.279, 7.145]"
1,"(6.279, 7.145]"
1,"(1.498, 2.52]"
1,"(4.475, 4.88]"
1,"(2.52, 3.268]"
1,"(3.268, 3.948]"
1,"(1.498, 2.52]"
1,"(-2.193, 1.498]"
0,"(6.279, 7.145]"
1,"(1.498, 2.52]"
1,"(5.45, 6.279]"
0,"(5.45, 6.279]"
1,"(1.498, 2.52]"
1,"(2.52, 3.268]"
0,"(7.145, 10.79]"
1,"(4.475, 4.88]"
1,"(-2.193, 1.498]"
1,"(5.45, 6.279]"
0,"(5.45, 6.279]"
1,"(7.145, 10.79]"
1,"(1.498, 2.52]"
1,"(5.45, 6.279]"
0,"(5.45, 6.279]"
1,"(1.498, 2.52]"
1,"(3.268, 3.948]"
1,"(2.52, 3.268]"
1,"(3.948, 4.475]"
1,"(-2.193, 1.498]"
1,"(5.45, 6.279]"
1,"(2.52, 3.268]"
1,"(5.45, 6.279]"
1,"(1.498, 2.52]"
1,"(7.145, 10.79]"
1,"(1.498, 2.52]"
1,"(3.268, 3.948]"
1,"(-2.193, 1.498]"
1,"(2.52, 3.268]"
0,"(6.279, 7.145]"
0,"(7.145, 10.79]"
1,"(5.45, 6.279]"
1,"(1.498, 2.52]"
1,"(3.948, 4.475]"
0,"(4.475, 4.88]"
1,"(4.88, 5.45]"
1,"(3.948, 4.475]"
1,"(3.268, 3.948]"
1,"(7.145, 10.79]"
1,"(5.45, 6.279]"
0,"(6.279, 7.145]"
1,"(2.52, 3.268]"
0,"(3.268, 3.948]"
1,"(4.88, 5.45]"
0,"(2.52, 3.268]"
1,"(4.475, 4.88]"
1,"(7.145, 10.79]"
0,"(3.268, 3.948]"
