X,Y
1,"(21.232, 23.932]"
1,"(23.932, 26.633]"
0,"(37.434, 40.135]"
0,"(37.434, 40.135]"
0,"(18.532, 21.232]"
0,"(13.131, 15.831]"
0,"(10.43, 13.131]"
0,"(18.532, 21.232]"
0,"(18.532, 21.232]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(18.532, 21.232]"
1,"(23.932, 26.633]"
0,"(5.03, 7.73]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(15.831, 18.532]"
0,"(10.43, 13.131]"
1,"(23.932, 26.633]"
0,"(23.932, 26.633]"
0,"(-3.125, -0.371]"
0,"(29.333, 32.034]"
0,"(21.232, 23.932]"
0,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(26.633, 29.333]"
1,"(21.232, 23.932]"
0,"(34.734, 37.434]"
1,"(23.932, 26.633]"
0,"(15.831, 18.532]"
1,"(23.932, 26.633]"
0,"(2.329, 5.03]"
1,"(23.932, 26.633]"
0,"(13.131, 15.831]"
0,"(15.831, 18.532]"
1,"(26.633, 29.333]"
0,"(5.03, 7.73]"
0,"(2.329, 5.03]"
1,"(23.932, 26.633]"
0,"(10.43, 13.131]"
1,"(23.932, 26.633]"
0,"(18.532, 21.232]"
0,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(5.03, 7.73]"
1,"(23.932, 26.633]"
0,"(2.329, 5.03]"
0,"(21.232, 23.932]"
0,"(37.434, 40.135]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(7.73, 10.43]"
0,"(5.03, 7.73]"
1,"(21.232, 23.932]"
1,"(23.932, 26.633]"
0,"(34.734, 37.434]"
0,"(23.932, 26.633]"
0,"(26.633, 29.333]"
0,"(48.236, 50.936]"
0,"(21.232, 23.932]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(29.333, 32.034]"
0,"(21.232, 23.932]"
0,"(23.932, 26.633]"
0,"(15.831, 18.532]"
0,"(18.532, 21.232]"
0,"(34.734, 37.434]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(18.532, 21.232]"
0,"(21.232, 23.932]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(29.333, 32.034]"
0,"(15.831, 18.532]"
0,"(29.333, 32.034]"
0,"(34.734, 37.434]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(29.333, 32.034]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(32.034, 34.734]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(7.73, 10.43]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
0,"(23.932, 26.633]"
1,"(23.932, 26.633]"
1,"(23.932, 26.633]"
