X,Y
1,"(20.075, 23.932]"
1,"(23.932, 27.79]"
0,"(35.506, 39.363]"
0,"(35.506, 39.363]"
0,"(20.075, 23.932]"
0,"(12.359, 16.217]"
0,"(12.359, 16.217]"
0,"(20.075, 23.932]"
0,"(20.075, 23.932]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(16.217, 20.075]"
1,"(23.932, 27.79]"
0,"(4.644, 8.502]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(16.217, 20.075]"
0,"(8.502, 12.359]"
1,"(23.932, 27.79]"
0,"(23.932, 27.79]"
0,"(-3.125, 0.786]"
0,"(27.79, 31.648]"
0,"(20.075, 23.932]"
0,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(27.79, 31.648]"
1,"(20.075, 23.932]"
0,"(35.506, 39.363]"
1,"(23.932, 27.79]"
0,"(16.217, 20.075]"
1,"(23.932, 27.79]"
0,"(0.786, 4.644]"
1,"(23.932, 27.79]"
0,"(12.359, 16.217]"
0,"(12.359, 16.217]"
1,"(23.932, 27.79]"
0,"(4.644, 8.502]"
0,"(0.786, 4.644]"
1,"(23.932, 27.79]"
0,"(8.502, 12.359]"
1,"(23.932, 27.79]"
0,"(16.217, 20.075]"
0,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(4.644, 8.502]"
1,"(23.932, 27.79]"
0,"(0.786, 4.644]"
0,"(20.075, 23.932]"
0,"(35.506, 39.363]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(8.502, 12.359]"
0,"(4.644, 8.502]"
1,"(20.075, 23.932]"
1,"(23.932, 27.79]"
0,"(35.506, 39.363]"
0,"(23.932, 27.79]"
0,"(27.79, 31.648]"
0,"(47.079, 50.936]"
0,"(20.075, 23.932]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(27.79, 31.648]"
0,"(20.075, 23.932]"
0,"(23.932, 27.79]"
0,"(16.217, 20.075]"
0,"(20.075, 23.932]"
0,"(35.506, 39.363]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(16.217, 20.075]"
0,"(20.075, 23.932]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(27.79, 31.648]"
0,"(16.217, 20.075]"
0,"(27.79, 31.648]"
0,"(31.648, 35.506]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(31.648, 35.506]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(31.648, 35.506]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(8.502, 12.359]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
0,"(23.932, 27.79]"
1,"(23.932, 27.79]"
1,"(23.932, 27.79]"
