X,Y
1,"(0.232, 2.135]"
1,"(4.426, 4.75]"
0,"(9.04, 11.987]"
0,"(9.04, 11.987]"
0,"(5.847, 6.209]"
0,"(4.75, 4.964]"
0,"(4.155, 4.426]"
0,"(5.847, 6.209]"
0,"(5.588, 5.847]"
1,"(4.75, 4.964]"
1,"(3.491, 3.774]"
1,"(2.624, 2.93]"
1,"(3.491, 3.774]"
0,"(5.323, 5.588]"
1,"(2.93, 3.109]"
0,"(3.109, 3.491]"
1,"(3.491, 3.774]"
1,"(2.624, 2.93]"
0,"(4.964, 5.323]"
0,"(3.774, 4.155]"
1,"(4.964, 5.323]"
0,"(6.495, 6.761]"
0,"(0.232, 2.135]"
0,"(7.519, 8.233]"
0,"(5.847, 6.209]"
0,"(6.761, 7.519]"
1,"(4.964, 5.323]"
0,"(6.761, 7.519]"
1,"(0.232, 2.135]"
0,"(8.233, 9.04]"
1,"(2.135, 2.624]"
0,"(5.323, 5.588]"
1,"(5.323, 5.588]"
0,"(2.624, 2.93]"
1,"(6.761, 7.519]"
0,"(4.426, 4.75]"
0,"(4.964, 5.323]"
1,"(8.233, 9.04]"
0,"(2.624, 2.93]"
0,"(2.135, 2.624]"
1,"(4.75, 4.964]"
0,"(3.774, 4.155]"
1,"(0.232, 2.135]"
0,"(5.588, 5.847]"
0,"(6.495, 6.761]"
1,"(3.491, 3.774]"
1,"(4.964, 5.323]"
0,"(3.109, 3.491]"
1,"(6.495, 6.761]"
0,"(2.135, 2.624]"
0,"(6.209, 6.495]"
0,"(9.04, 11.987]"
1,"(2.93, 3.109]"
1,"(5.847, 6.209]"
0,"(3.774, 4.155]"
0,"(3.109, 3.491]"
1,"(0.232, 2.135]"
1,"(2.93, 3.109]"
0,"(9.04, 11.987]"
0,"(6.495, 6.761]"
0,"(6.761, 7.519]"
0,"(9.04, 11.987]"
0,"(6.209, 6.495]"
1,"(3.109, 3.491]"
1,"(4.426, 4.75]"
0,"(7.519, 8.233]"
0,"(5.847, 6.209]"
0,"(6.495, 6.761]"
0,"(5.323, 5.588]"
0,"(5.588, 5.847]"
0,"(8.233, 9.04]"
1,"(2.93, 3.109]"
1,"(4.426, 4.75]"
0,"(5.588, 5.847]"
0,"(6.209, 6.495]"
1,"(2.135, 2.624]"
1,"(4.155, 4.426]"
1,"(3.774, 4.155]"
0,"(7.519, 8.233]"
0,"(5.323, 5.588]"
0,"(7.519, 8.233]"
0,"(8.233, 9.04]"
1,"(4.75, 4.964]"
1,"(4.155, 4.426]"
1,"(4.426, 4.75]"
1,"(5.588, 5.847]"
1,"(3.774, 4.155]"
1,"(6.209, 6.495]"
0,"(7.519, 8.233]"
1,"(4.155, 4.426]"
1,"(3.109, 3.491]"
0,"(8.233, 9.04]"
1,"(2.135, 2.624]"
1,"(2.624, 2.93]"
0,"(3.491, 3.774]"
1,"(2.93, 3.109]"
1,"(6.209, 6.495]"
0,"(6.761, 7.519]"
1,"(4.155, 4.426]"
1,"(4.75, 4.964]"
