A,B
"(6.071, 6.819]","(9.5, 10.8]"
"(9.776, 10.515]","(6.9, 8.2]"
"(8.298, 9.037]","(5.6, 6.9]"
"(12.732, 13.472]","(6.9, 8.2]"
"(9.776, 10.515]","(5.6, 6.9]"
"(7.558, 8.298]","(8.2, 9.5]"
"(11.254, 11.993]","(6.9, 8.2]"
"(13.472, 14.211]","(8.2, 9.5]"
"(12.732, 13.472]","(5.6, 6.9]"
"(10.515, 11.254]","(8.2, 9.5]"
"(10.515, 11.254]","(6.9, 8.2]"
"(12.732, 13.472]","(6.9, 8.2]"
"(7.558, 8.298]","(8.2, 9.5]"
"(11.254, 11.993]","(8.2, 9.5]"
"(10.515, 11.254]","(6.9, 8.2]"
"(9.037, 9.776]","(6.9, 8.2]"
"(6.819, 7.558]","(8.2, 9.5]"
"(7.558, 8.298]","(6.9, 8.2]"
"(10.515, 11.254]","(8.2, 9.5]"
"(8.298, 9.037]","(8.2, 9.5]"
"(11.254, 11.993]","(6.9, 8.2]"
"(11.993, 12.732]","(5.6, 6.9]"
"(8.298, 9.037]","(6.9, 8.2]"
"(12.732, 13.472]","(8.2, 9.5]"
"(7.558, 8.298]","(9.5, 10.8]"
"(8.298, 9.037]","(6.9, 8.2]"
"(13.472, 14.211]","(8.2, 9.5]"
"(12.732, 13.472]","(8.2, 9.5]"
"(12.732, 13.472]","(8.2, 9.5]"
"(12.732, 13.472]","(8.2, 9.5]"
"(11.254, 11.993]","(8.2, 9.5]"
"(6.819, 7.558]","(9.5, 10.8]"
"(6.071, 6.819]","(8.2, 9.5]"
"(8.298, 9.037]","(6.9, 8.2]"
"(9.037, 9.776]","(6.9, 8.2]"
"(11.993, 12.732]","(9.5, 10.8]"
"(6.071, 6.819]","(8.2, 9.5]"
"(10.515, 11.254]","(8.2, 9.5]"
"(10.515, 11.254]","(8.2, 9.5]"
"(6.819, 7.558]","(9.5, 10.8]"
"(8.298, 9.037]","(5.6, 6.9]"
"(6.071, 6.819]","(8.2, 9.5]"
"(9.037, 9.776]","(8.2, 9.5]"
"(8.298, 9.037]","(8.2, 9.5]"
"(9.037, 9.776]","(6.9, 8.2]"
"(10.515, 11.254]","(5.6, 6.9]"
"(9.776, 10.515]","(8.2, 9.5]"
"(8.298, 9.037]","(8.2, 9.5]"
"(8.298, 9.037]","(8.2, 9.5]"
"(10.515, 11.254]","(1.7, 3.0]"
"(11.254, 11.993]","(6.9, 8.2]"
"(9.776, 10.515]","(6.9, 8.2]"
"(9.037, 9.776]","(6.9, 8.2]"
"(9.776, 10.515]","(6.9, 8.2]"
"(9.037, 9.776]","(8.2, 9.5]"
"(9.776, 10.515]","(8.2, 9.5]"
"(11.993, 12.732]","(6.9, 8.2]"
"(12.732, 13.472]","(6.9, 8.2]"
"(9.776, 10.515]","(5.6, 6.9]"
"(14.211, 14.95]","(8.2, 9.5]"
"(8.298, 9.037]","(8.2, 9.5]"
"(8.298, 9.037]","(9.5, 10.8]"
"(6.819, 7.558]","(6.9, 8.2]"
"(8.298, 9.037]","(6.9, 8.2]"
"(13.472, 14.211]","(8.2, 9.5]"
"(8.298, 9.037]","(6.9, 8.2]"
"(13.472, 14.211]","(8.2, 9.5]"
"(8.298, 9.037]","(8.2, 9.5]"
"(8.298, 9.037]","(5.6, 6.9]"
"(6.071, 6.819]","(9.5, 10.8]"
"(6.071, 6.819]","(9.5, 10.8]"
"(9.776, 10.515]","(8.2, 9.5]"
"(11.254, 11.993]","(8.2, 9.5]"
"(9.776, 10.515]","(6.9, 8.2]"
"(6.071, 6.819]","(9.5, 10.8]"
"(6.819, 7.558]","(8.2, 9.5]"
"(6.819, 7.558]","(8.2, 9.5]"
"(6.819, 7.558]","(8.2, 9.5]"
"(9.037, 9.776]","(5.6, 6.9]"
"(8.298, 9.037]","(5.6, 6.9]"
