A,B
"(10.07, 11.984]","(16.29, 18.875]"
"(15.811, 17.725]","(31.803, 34.389]"
"(10.07, 11.984]","(13.704, 16.29]"
"(10.07, 11.984]","(29.218, 31.803]"
"(13.897, 15.811]","(29.218, 31.803]"
"(13.897, 15.811]","(24.046, 26.632]"
"(13.897, 15.811]","(21.461, 24.046]"
"(11.984, 13.897]","(18.875, 21.461]"
"(11.984, 13.897]","(21.461, 24.046]"
"(13.897, 15.811]","(21.461, 24.046]"
"(11.984, 13.897]","(21.461, 24.046]"
"(11.984, 13.897]","(21.461, 24.046]"
"(11.984, 13.897]","(21.461, 24.046]"
"(10.07, 11.984]","(31.803, 34.389]"
"(8.156, 10.07]","(21.461, 24.046]"
"(8.156, 10.07]","(24.046, 26.632]"
"(6.242, 8.156]","(16.29, 18.875]"
"(8.156, 10.07]","(18.875, 21.461]"
"(10.07, 11.984]","(21.461, 24.046]"
"(13.897, 15.811]","(18.875, 21.461]"
"(11.984, 13.897]","(24.046, 26.632]"
"(10.07, 11.984]","(36.974, 39.56]"
"(10.07, 11.984]","(24.046, 26.632]"
"(8.156, 10.07]","(16.29, 18.875]"
"(4.328, 6.242]","(36.974, 39.56]"
"(10.07, 11.984]","(21.461, 24.046]"
"(6.242, 8.156]","(21.461, 24.046]"
"(11.984, 13.897]","(21.461, 24.046]"
"(10.07, 11.984]","(26.632, 29.218]"
"(19.639, 21.553]","(24.046, 26.632]"
"(10.07, 11.984]","(16.29, 18.875]"
"(11.984, 13.897]","(26.632, 29.218]"
"(10.07, 11.984]","(21.461, 24.046]"
"(10.07, 11.984]","(26.632, 29.218]"
"(6.242, 8.156]","(16.29, 18.875]"
"(8.156, 10.07]","(21.461, 24.046]"
"(6.242, 8.156]","(16.29, 18.875]"
"(8.156, 10.07]","(13.704, 16.29]"
"(2.414, 4.328]","(16.29, 18.875]"
"(4.328, 6.242]","(11.119, 13.704]"
"(15.811, 17.725]","(24.046, 26.632]"
"(21.553, 23.467]","(26.632, 29.218]"
"(11.984, 13.897]","(36.974, 39.56]"
"(8.156, 10.07]","(18.875, 21.461]"
"(4.328, 6.242]","(21.461, 24.046]"
"(4.328, 6.242]","(13.704, 16.29]"
"(2.414, 4.328]","(11.119, 13.704]"
"(0.477, 2.414]","(13.704, 16.29]"
"(13.897, 15.811]","(16.29, 18.875]"
"(10.07, 11.984]","(26.632, 29.218]"
"(8.156, 10.07]","(21.461, 24.046]"
"(2.414, 4.328]","(18.875, 21.461]"
"(6.242, 8.156]","(16.29, 18.875]"
"(10.07, 11.984]","(13.704, 16.29]"
"(4.328, 6.242]","(16.29, 18.875]"
"(6.242, 8.156]","(13.704, 16.29]"
"(10.07, 11.984]","(11.119, 13.704]"
"(6.242, 8.156]","(16.29, 18.875]"
"(11.984, 13.897]","(24.046, 26.632]"
"(13.897, 15.811]","(26.632, 29.218]"
"(6.242, 8.156]","(21.461, 24.046]"
"(8.156, 10.07]","(13.704, 16.29]"
"(8.156, 10.07]","(24.046, 26.632]"
"(8.156, 10.07]","(16.29, 18.875]"
"(11.984, 13.897]","(18.875, 21.461]"
"(15.811, 17.725]","(21.461, 24.046]"
"(10.07, 11.984]","(29.218, 31.803]"
"(10.07, 11.984]","(18.875, 21.461]"
"(0.477, 2.414]","(13.704, 16.29]"
"(4.328, 6.242]","(26.632, 29.218]"
"(8.156, 10.07]","(11.119, 13.704]"
"(8.156, 10.07]","(18.875, 21.461]"
"(8.156, 10.07]","(18.875, 21.461]"
"(8.156, 10.07]","(16.29, 18.875]"
"(6.242, 8.156]","(24.046, 26.632]"
"(2.414, 4.328]","(18.875, 21.461]"
"(6.242, 8.156]","(18.875, 21.461]"
"(4.328, 6.242]","(8.502, 11.119]"
"(6.242, 8.156]","(18.875, 21.461]"
"(8.156, 10.07]","(21.461, 24.046]"
"(6.242, 8.156]","(18.875, 21.461]"
"(10.07, 11.984]","(29.218, 31.803]"
