A,B
3,76
3,58
2,37
2,38
1,41
2,44
3,40
3,33
2,42
3,36
1,35
1,25
3,40
1,39
2,44
3,49
0,36
2,53
3,37
3,39
3,38
0,25
0,5
0,41
3,49
3,50
3,38
2,49
3,34
3,35
2,52
2,49
1,38
3,39
1,50
1,35
1,27
2,34
3,39
1,33
2,47
3,40
1,36
3,50
3,38
3,32
2,12
3,37
1,23
3,29
2,36
1,43
1,30
2,46
0,11
1,11
3,38
1,6
2,47
2,30
2,51
2,48
2,6
1,47
2,45
2,52
0,41
2,27
1,37
3,68
3,31
2,25
3,30
3,33
3,26
3,34
3,37
3,30
3,25
3,38
3,30
2,22
3,38
3,32
2,25
3,25
3,32
2,21
3,32
3,36
3,37
3,32
2,21
3,43
2,39
3,46
3,43
3,42
3,52
3,51
3,46
3,31
3,43
3,46
2,30
3,51
3,52
2,46
3,44
3,52
2,35
3,52
3,53
3,56
3,19
2,32
3,58
2,56
3,57
3,58
3,53
3,65
3,63
3,57
3,47
3,53
3,57
2,52
3,65
3,68
2,71
3,49
3,68
2,64
3,68
3,63
3,71
3,68
2,46
3,60
2,61
3,61
3,61
3,57
3,69
3,66
3,61
3,52
3,55
3,61
2,63
3,70
3,74
2,76
3,51
3,74
2,69
3,74
3,68
3,76
3,74
2,56
3,61
2,63
3,62
3,63
3,59
3,71
3,67
3,62
3,54
3,56
3,62
2,65
3,72
3,76
3,53
3,76
2,73
3,76
3,70
3,76
3,76
2,64
1,8
1,21
1,21
1,26
1,37
1,7
1,19
1,19
1,24
1,31
1,9
1,21
1,22
1,30
1,34
1,12
1,18
1,23
1,32
1,37
1,9
1,17
1,21
1,31
1,36
1,7
1,17
1,21
1,28
1,32
1,6
1,19
1,25
1,35
1,37
1,7
1,22
1,18
1,25
1,30
1,4
1,14
1,21
1,29
1,36
1,15
1,27
1,42
1,47
1,50
1,10
1,14
1,37
1,44
1,46
1,10
1,19
1,21
1,28
1,37
1,16
1,22
1,27
1,36
1,41
1,10
1,21
1,26
1,35
1,39
1,10
1,23
1,28
1,39
1,39
1,10
1,22
1,34
1,41
1,44
1,16
1,28
1,35
1,42
1,44
1,12
